URL,Institution,Conference,MP,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,SrvAtt
http://stats.ncaa.org/team/26172/16000,A&M-Corpus Christi,Southland,,25,316,146,918,0.185,298,22,59,379,33,13,43,6,372.5,7,
http://stats.ncaa.org/team/2/16000,Abilene Christian,WAC,,18,211,102,634,0.172,196,25,31,291,32,2,42,1,259,4,
http://stats.ncaa.org/team/721/16000,Air Force,Mountain West,,26,316,123,792,0.244,301,53,68,295,40,15,118,5,443,11,
http://stats.ncaa.org/team/5/16000,Akron,MAC,,26,297,176,928,0.13,274,41,52,364,23,13,58,1,380,2,
http://stats.ncaa.org/team/8/16000,Alabama,SEC,,23,292,143,792,0.188,259,50,118,276,27,13,81,9,395.5,2,
http://stats.ncaa.org/team/6/16000,Alabama A&M,SWAC,,19,161,113,554,0.087,143,22,23,229,62,4,36,9,205,6,
http://stats.ncaa.org/team/7/16000,Alabama St.,SWAC,,23,210,132,683,0.114,193,20,35,251,50,7,57,9,265.5,4,
http://stats.ncaa.org/team/17/16000,Alcorn,SWAC,,19,136,124,550,0.022,125,16,24,185,66,15,34,7,184,6,
http://stats.ncaa.org/team/23/16000,American,Patriot,,18,239,81,632,0.25,205,30,29,266,35,5,84,13,316,4,
http://stats.ncaa.org/team/27/16000,App State,Sun Belt,,25,304,120,853,0.216,277,40,37,356,29,13,58,3,386,2,
http://stats.ncaa.org/team/29/16000,Arizona,Pac-12,,18,231,80,587,0.257,195,33,43,250,27,8,76,2,310,3,
http://stats.ncaa.org/team/28/16000,Arizona St.,Pac-12,,24,291,116,775,0.226,268,43,34,311,39,10,70,2,379,4,
http://stats.ncaa.org/team/2678/16000,Ark.-Pine Bluff,SWAC,,27,273,152,913,0.133,262,38,48,384,40,18,42,5,350,3,
http://stats.ncaa.org/team/31/16000,Arkansas,SEC,,17,246,59,573,0.326,225,37,37,229,22,9,66,12,325,4,
http://stats.ncaa.org/team/30/16000,Arkansas St.,Sun Belt,,25,306,122,770,0.239,280,48,51,340,37,12,50,14,391,6,
http://stats.ncaa.org/team/725/16000,Army West Point,Patriot,,26,344,173,924,0.185,320,39,65,400,30,12,64,10,427,10,
http://stats.ncaa.org/team/37/16000,Auburn,SEC,,14,173,62,420,0.264,163,33,29,165,24,7,67,8,246.5,1,
http://stats.ncaa.org/team/43/16000,Austin Peay,ASUN,,21,246,113,710,0.187,227,33,36,302,36,13,39,4,311.5,10,
http://stats.ncaa.org/team/77/16000,BYU,WCC,,21,288,81,654,0.317,269,36,46,269,19,12,94,8,383,3,
