URL,Institution,Conference,MP,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,SrvAtt
http://stats.ncaa.org/team/47/16000,Ball St.,MAC,,23,324,90,846,0.277,290,36,45,381,34,16,66,6,409,4,
http://stats.ncaa.org/team/51/16000,Baylor,Big 12,,20,245,108,607,0.226,225,20,41,213,22,3,107,9,321.5,8,
http://stats.ncaa.org/team/52/16000,Bellarmine,ASUN,,22,281,126,742,0.209,256,33,42,321,23,14,36,9,346,14,
http://stats.ncaa.org/team/14927/16000,Belmont,MVC,,28,314,165,909,0.164,282,44,54,344,53,7,90,11,410,10,
http://stats.ncaa.org/team/61/16000,Bethune-Cookman,SWAC,,22,187,120,639,0.105,173,29,51,246,47,7,82,6,264,,
http://stats.ncaa.org/team/62/16000,Binghamton,America East,,20,227,84,653,0.219,207,44,33,271,29,6,85,12,319.5,2,
http://stats.ncaa.org/team/66/16000,Boise St.,Mountain West,,15,179,72,497,0.215,168,21,24,216,23,10,72,11,246,1,
http://stats.ncaa.org/team/67/16000,Boston College,ACC,,20,282,102,649,0.277,267,35,46,310,20,10,90,2,372,7,
http://stats.ncaa.org/team/71/16000,Bowling Green,MAC,,23,307,140,857,0.195,292,34,55,364,30,6,80,5,387,13,
http://stats.ncaa.org/team/72/16000,Bradley,MVC,,23,254,126,757,0.169,239,27,59,297,43,11,54,6,319,5,
http://stats.ncaa.org/team/80/16000,Brown,Ivy League,,12,150,50,382,0.262,136,24,24,174,21,1,42,1,196,1,
http://stats.ncaa.org/team/81/16000,Bryant,America East,,25,304,152,781,0.195,279,26,40,329,36,7,96,5,385,2,
http://stats.ncaa.org/team/83/16000,Bucknell,Patriot,,22,298,122,809,0.218,275,35,45,403,23,7,58,10,369,8,
http://stats.ncaa.org/team/86/16000,Buffalo,MAC,,23,316,121,801,0.243,277,37,72,328,20,19,56,3,400,7,
http://stats.ncaa.org/team/87/16000,Butler,Big East,,22,251,115,743,0.183,226,21,48,307,32,9,80,12,321,4,
http://stats.ncaa.org/team/94/16000,CSU Bakersfield,Big West,,22,261,118,693,0.206,236,30,47,255,53,5,70,11,331,8,
http://stats.ncaa.org/team/101/16000,CSUN,Big West,,21,250,136,743,0.153,227,38,54,294,38,18,50,14,331,4,
http://stats.ncaa.org/team/90/16000,Cal Poly,Big West,,11,122,67,369,0.149,115,18,27,131,19,11,48,1,175,4,
http://stats.ncaa.org/team/97/16000,Cal St. Fullerton,Big West,,15,179,93,578,0.149,167,10,25,265,16,17,36,17,224,1,
http://stats.ncaa.org/team/107/16000,California,Pac-12,,19,234,95,636,0.219,223,27,34,257,35,6,92,1,313,9,
http://stats.ncaa.org/team/30135/16000,California Baptist,WAC,,21,284,114,718,0.237,264,29,36,280,33,4,70,4,352,9,
http://stats.ncaa.org/team/115/16000,Campbell,Big South,,24,288,118,812,0.209,269,44,70,339,34,6,100,13,388,5,
http://stats.ncaa.org/team/116/16000,Canisius,MAAC,,24,264,135,848,0.152,246,36,35,375,55,14,60,5,344,2,
http://stats.ncaa.org/team/1004/16000,Central Ark.,ASUN,,23,268,130,779,0.177,250,37,26,336,30,12,54,12,344,9,
http://stats.ncaa.org/team/127/16000,Central Conn. St.,NEC,,19,226,111,654,0.176,210,38,36,314,25,7,69,7,305.5,9,
http://stats.ncaa.org/team/129/16000,Central Mich.,MAC,,23,293,104,737,0.256,271,45,48,346,30,14,78,10,391,7,
http://stats.ncaa.org/team/48/16000,Charleston So.,Big South,,28,357,147,892,0.235,329,33,45,357,50,23,46,5,436,1,
http://stats.ncaa.org/team/458/16000,Charlotte,C-USA,,26,337,123,872,0.245,318,40,47,365,40,20,68,14,431,7,
http://stats.ncaa.org/team/693/16000,Chattanooga,SoCon,,24,248,123,787,0.159,219,34,31,362,58,13,48,6,319,1,
http://stats.ncaa.org/team/136/16000,Chicago St.,DI Independent,,22,251,133,791,0.149,237,27,39,338,34,17,68,10,329,,
http://stats.ncaa.org/team/140/16000,Cincinnati,AAC,,25,271,147,831,0.149,262,39,40,297,45,8,86,6,361,10,
http://stats.ncaa.org/team/147/16000,Clemson,ACC,,23,297,119,802,0.222,280,40,50,351,31,18,52,5,381,1,
http://stats.ncaa.org/team/148/16000,Cleveland St.,Horizon,,26,264,115,850,0.175,236,26,41,378,42,10,86,5,343,5,
http://stats.ncaa.org/team/149/16000,Coastal Carolina,Sun Belt,,19,240,86,618,0.249,216,29,64,244,23,14,48,6,307,2,
http://stats.ncaa.org/team/1014/16000,Col. of Charleston,CAA,,22,288,99,786,0.24,268,36,33,306,36,7,60,17,361,,
http://stats.ncaa.org/team/153/16000,Colgate,Patriot,,21,247,99,736,0.201,214,22,44,300,41,7,34,4,293,1,
http://stats.ncaa.org/team/157/16000,Colorado,Pac-12,,18,300,84,700,0.309,273,29,45,308,33,9,114,7,395,5,
http://stats.ncaa.org/team/156/16000,Colorado St.,Mountain West,,22,255,87,648,0.259,231,25,48,228,28,16,71,9,331.5,2,
http://stats.ncaa.org/team/158/16000,Columbia,Ivy League,,9,117,63,303,0.178,111,20,29,136,21,2,36,3,157,1,
http://stats.ncaa.org/team/165/16000,Coppin St.,MEAC,,25,261,143,834,0.141,247,40,44,371,44,5,89,15,350.5,6,
http://stats.ncaa.org/team/167/16000,Cornell,Ivy League,,11,133,49,404,0.208,128,32,35,154,18,1,34,5,183,2,
http://stats.ncaa.org/team/169/16000,Creighton,Big East,,22,295,111,761,0.242,272,38,38,321,25,10,64,8,375,3,
http://stats.ncaa.org/team/172/16000,Dartmouth,Ivy League,,10,140,54,397,0.217,127,18,14,186,6,6,34,2,181,3,
http://stats.ncaa.org/team/173/16000,Davidson,Atlantic 10,,21,275,112,713,0.229,254,25,41,317,31,21,72,5,357,4,
http://stats.ncaa.org/team/175/16000,Dayton,Atlantic 10,,25,281,130,791,0.191,252,35,59,303,58,13,92,11,375,2,
http://stats.ncaa.org/team/176/16000,DePaul,Big East,,25,321,167,970,0.159,294,22,46,393,26,3,88,19,390,8,
http://stats.ncaa.org/team/180/16000,Delaware,CAA,,21,260,119,708,0.199,242,30,41,276,32,6,50,7,321,6,
http://stats.ncaa.org/team/178/16000,Delaware St.,MEAC,,23,256,112,646,0.223,243,51,43,268,39,11,100,11,368,6,
http://stats.ncaa.org/team/183/16000,Denver,Summit League,,24,285,144,766,0.184,267,43,35,287,21,12,131,2,405.5,9,
http://stats.ncaa.org/team/189/16000,Drake,MVC,,22,290,124,759,0.219,270,25,35,330,32,11,92,6,372,2,
http://stats.ncaa.org/team/193/16000,Duke,ACC,,23,306,132,789,0.221,291,55,71,304,32,7,84,4,410,8,
http://stats.ncaa.org/team/194/16000,Duquesne,Atlantic 10,,21,218,122,736,0.13,205,35,31,309,43,16,64,14,301,2,
http://stats.ncaa.org/team/198/16000,ETSU,SoCon,,24,253,142,769,0.144,233,25,60,267,42,6,64,16,316,6,
http://stats.ncaa.org/team/196/16000,East Carolina,AAC,,22,243,101,707,0.201,228,42,46,271,37,6,90,8,336,5,
http://stats.ncaa.org/team/201/16000,Eastern Ill.,OVC,,20,224,150,703,0.105,206,19,41,310,27,8,36,11,269,4,
http://stats.ncaa.org/team/202/16000,Eastern Ky.,ASUN,,22,288,111,850,0.208,245,24,20,371,27,17,40,14,349,6,
http://stats.ncaa.org/team/204/16000,Eastern Mich.,MAC,,26,288,145,847,0.169,266,34,45,323,47,14,72,13,372,7,
http://stats.ncaa.org/team/207/16000,Eastern Wash.,Big Sky,,21,249,109,704,0.199,230,40,53,310,29,4,70,6,328,4,
http://stats.ncaa.org/team/1068/16000,Elon,CAA,,22,245,144,884,0.114,224,26,36,379,32,7,64,7,310,1,
http://stats.ncaa.org/team/219/16000,Evansville,MVC,,26,326,131,820,0.238,308,46,71,281,48,6,68,2,412,,
http://stats.ncaa.org/team/28755/16000,FGCU,ASUN,,22,282,121,681,0.236,265,49,53,262,44,6,71,3,372.5,2,
http://stats.ncaa.org/team/231/16000,FIU,C-USA,,22,247,142,778,0.135,230,33,51,303,35,12,72,7,328,5,
http://stats.ncaa.org/team/220/16000,Fairfield,MAAC,,21,232,92,658,0.213,201,38,44,274,39,7,80,14,317,4,
http://stats.ncaa.org/team/222/16000,Fairleigh Dickinson,NEC,,26,305,126,875,0.205,284,40,46,353,44,22,58,7,396,18,
http://stats.ncaa.org/team/229/16000,Fla. Atlantic,C-USA,,19,279,92,640,0.292,263,43,49,252,27,14,30,11,351,1,
http://stats.ncaa.org/team/235/16000,Florida,SEC,,20,245,86,546,0.291,226,44,53,220,26,7,88,8,340,1,
http://stats.ncaa.org/team/228/16000,Florida A&M,SWAC,,27,274,164,879,0.125,254,35,47,364,66,17,68,13,360,5,
http://stats.ncaa.org/team/234/16000,Florida St.,ACC,,25,341,92,782,0.318,312,43,48,318,34,13,91,7,442.5,7,
http://stats.ncaa.org/team/236/16000,Fordham,Atlantic 10,,24,320,111,831,0.252,299,41,34,339,26,12,87,12,416.5,5,
http://stats.ncaa.org/team/96/16000,Fresno St.,Mountain West,,24,320,121,858,0.232,291,28,33,363,43,11,72,8,395,3,
http://stats.ncaa.org/team/244/16000,Furman,SoCon,,18,192,102,602,0.15,177,23,30,228,36,3,46,4,241,8,
http://stats.ncaa.org/team/253/16000,Ga. Southern,Sun Belt,,18,239,74,575,0.287,216,49,39,257,13,9,44,1,319,6,
http://stats.ncaa.org/team/1092/16000,Gardner-Webb,Big South,,21,227,118,718,0.152,211,22,51,291,53,8,52,2,283,8,
http://stats.ncaa.org/team/248/16000,George Mason,Atlantic 10,,23,258,149,771,0.141,248,18,40,294,46,10,58,6,315,3,
http://stats.ncaa.org/team/249/16000,George Washington,Atlantic 10,,22,266,150,784,0.148,238,23,40,331,40,13,89,12,346.5,11,
http://stats.ncaa.org/team/251/16000,Georgetown,Big East,,21,209,102,666,0.161,189,35,47,279,58,10,40,7,274,4,
http://stats.ncaa.org/team/257/16000,Georgia,SEC,,19,257,73,576,0.319,240,42,71,224,15,7,95,4,353.5,3,
http://stats.ncaa.org/team/254/16000,Georgia St.,Sun Belt,,24,290,124,836,0.199,268,55,68,345,49,12,103,6,408.5,9,
http://stats.ncaa.org/team/255/16000,Georgia Tech,ACC,,17,226,72,525,0.293,205,31,22,214,12,9,64,6,298,2,
http://stats.ncaa.org/team/260/16000,Gonzaga,WCC,,22,239,108,832,0.157,217,41,40,380,35,17,63,15,328.5,10,
http://stats.ncaa.org/team/261/16000,Grambling,SWAC,,24,262,148,896,0.127,239,36,45,392,33,7,60,13,335,11,
http://stats.ncaa.org/team/1104/16000,Grand Canyon,WAC,,22,277,108,690,0.245,249,44,74,263,35,17,42,6,359,2,
http://stats.ncaa.org/team/794/16000,Green Bay,Horizon,,21,256,107,733,0.203,244,26,36,310,31,4,113,9,342.5,6,
http://stats.ncaa.org/team/270/16000,Hampton,CAA,,7,89,24,220,0.295,71,21,8,114,8,3,12,5,119,,
http://stats.ncaa.org/team/272/16000,Hartford,America East,,20,152,126,569,0.046,132,23,42,201,56,5,28,10,194,6,
http://stats.ncaa.org/team/275/16000,Harvard,Ivy League,,10,123,76,361,0.13,116,10,28,138,14,4,18,1,146,,
http://stats.ncaa.org/team/277/16000,Hawaii,Big West,,22,283,118,791,0.209,265,28,44,313,37,13,65,8,356.5,2,
http://stats.ncaa.org/team/19651/16000,High Point,Big South,,25,304,131,863,0.2,284,34,36,384,40,2,86,3,383,5,
http://stats.ncaa.org/team/283/16000,Hofstra,CAA,,25,288,140,791,0.187,262,29,62,257,41,10,70,18,362,5,
http://stats.ncaa.org/team/285/16000,Holy Cross,Patriot,,22,202,126,713,0.107,187,39,41,290,65,8,34,10,266,4,
http://stats.ncaa.org/team/288/16000,Houston,AAC,,21,277,93,753,0.244,257,32,38,309,21,10,50,3,344,1,
http://stats.ncaa.org/team/287/16000,Houston Baptist,Southland,,21,281,101,689,0.261,256,37,33,313,30,16,47,2,357.5,5,
http://stats.ncaa.org/team/290/16000,Howard,MEAC,,20,253,109,675,0.213,229,38,49,298,23,12,30,1,318,9,
http://stats.ncaa.org/team/2699/16000,IUPUI,Horizon,,22,230,149,739,0.11,212,37,51,315,49,10,72,6,313,5,
http://stats.ncaa.org/team/295/16000,Idaho,Big Sky,,20,204,103,585,0.173,193,37,61,210,46,7,42,9,269,8,
http://stats.ncaa.org/team/294/16000,Idaho St.,Big Sky,,23,260,123,855,0.16,244,43,24,364,37,13,66,19,349,2,
http://stats.ncaa.org/team/301/16000,Illinois,Big Ten,,14,172,85,445,0.196,161,18,41,145,15,3,54,4,220,,
http://stats.ncaa.org/team/299/16000,Illinois St.,MVC,,26,314,142,824,0.209,293,60,61,333,28,10,90,10,429,7,
http://stats.ncaa.org/team/306/16000,Indiana,Big Ten,,18,236,92,586,0.246,216,38,66,244,23,24,38,10,317,4,
http://stats.ncaa.org/team/305/16000,Indiana St.,MVC,,20,199,108,737,0.123,185,14,30,316,28,17,42,5,251,3,
http://stats.ncaa.org/team/310/16000,Iona,MAAC,,23,284,119,840,0.196,265,41,44,409,38,17,64,4,374,4,
http://stats.ncaa.org/team/312/16000,Iowa,Big Ten,,16,241,115,678,0.186,227,33,34,295,31,5,72,4,315,2,
http://stats.ncaa.org/team/311/16000,Iowa St.,Big 12,,24,289,128,774,0.208,269,32,61,266,36,8,108,4,383,3,
http://stats.ncaa.org/team/314/16000,Jackson St.,SWAC,,25,293,137,851,0.183,278,29,31,339,45,8,52,4,356,7,
http://stats.ncaa.org/team/316/16000,Jacksonville,ASUN,,21,230,102,690,0.186,215,51,60,279,45,13,68,8,328,2,
http://stats.ncaa.org/team/315/16000,Jacksonville St.,ASUN,,22,288,110,693,0.257,267,40,45,316,34,19,56,7,375,,
http://stats.ncaa.org/team/317/16000,James Madison,Sun Belt,,23,265,98,693,0.241,247,40,43,284,39,18,64,1,355,7,
http://stats.ncaa.org/team/328/16000,Kansas,Big 12,,19,267,78,586,0.323,241,27,47,243,28,11,78,1,344,,
http://stats.ncaa.org/team/2707/16000,Kansas City,Summit League,,24,284,97,774,0.242,261,29,42,343,37,9,66,3,355,14,
http://stats.ncaa.org/team/327/16000,Kansas St.,Big 12,,22,291,98,753,0.256,264,51,49,291,24,5,99,9,396.5,2,
http://stats.ncaa.org/team/1157/16000,Kennesaw St.,ASUN,,17,219,75,578,0.249,188,38,30,254,23,12,64,10,301,6,
http://stats.ncaa.org/team/331/16000,Kent St.,MAC,,24,319,127,823,0.233,305,50,59,382,46,4,88,2,417,6,
http://stats.ncaa.org/team/334/16000,Kentucky,SEC,,18,268,55,568,0.375,244,35,47,239,9,7,68,5,344,1,
http://stats.ncaa.org/team/361/16000,LIU,NEC,,23,249,138,875,0.127,232,16,36,355,28,8,68,4,307,6,
http://stats.ncaa.org/team/370/16000,LMU (CA),WCC,,15,182,70,437,0.256,172,26,51,150,18,3,78,4,250,7,
http://stats.ncaa.org/team/365/16000,LSU,SEC,,21,279,110,730,0.232,259,32,37,327,26,7,82,3,359,1,
http://stats.ncaa.org/team/342/16000,Lafayette,Patriot,,9,116,52,320,0.2,93,26,21,120,14,1,8,2,147,4,
http://stats.ncaa.org/team/346/16000,Lamar University,Southland,,19,243,121,703,0.174,219,23,46,287,24,9,62,5,306,5,
http://stats.ncaa.org/team/352/16000,Lehigh,Patriot,,23,262,97,683,0.242,249,54,57,312,27,15,108,13,385,6,
http://stats.ncaa.org/team/355/16000,Liberty,ASUN,,21,297,118,762,0.235,274,32,40,320,25,6,87,8,378.5,3,
http://stats.ncaa.org/team/30136/16000,Lindenwood,OVC,,21,266,106,747,0.214,244,41,57,315,36,7,56,4,342,3,
http://stats.ncaa.org/team/28600/16000,Lipscomb,ASUN,,20,245,102,646,0.221,234,37,63,219,27,10,54,12,319,2,
http://stats.ncaa.org/team/32/16000,Little Rock,OVC,,22,242,134,715,0.151,226,46,36,285,44,8,65,6,328.5,7,
http://stats.ncaa.org/team/99/16000,Long Beach St.,Big West,,21,268,108,761,0.21,258,28,47,342,23,1,97,10,345.5,8,
http://stats.ncaa.org/team/671/16000,Louisiana,Sun Belt,,26,338,131,915,0.226,319,33,48,373,28,20,76,5,429,6,
http://stats.ncaa.org/team/366/16000,Louisiana Tech,C-USA,,26,312,134,888,0.2,275,48,60,368,46,23,48,14,407,,
http://stats.ncaa.org/team/367/16000,Louisville,ACC,,20,242,73,566,0.299,230,48,49,243,14,13,98,11,352,2,
http://stats.ncaa.org/team/371/16000,Loyola Chicago,Atlantic 10,,24,311,123,771,0.244,281,32,48,302,31,15,92,8,404,4,
http://stats.ncaa.org/team/369/16000,Loyola Maryland,Patriot,,16,224,109,597,0.193,211,12,22,241,20,3,40,4,259,5,
http://stats.ncaa.org/team/381/16000,Manhattan,MAAC,,6,34,29,155,0.032,30,2,9,55,18,5,4,6,43,8,
http://stats.ncaa.org/team/386/16000,Marist,MAAC,,18,186,121,545,0.119,175,26,26,214,46,6,40,3,238,9,
http://stats.ncaa.org/team/387/16000,Marquette,Big East,,16,213,76,582,0.235,188,21,32,245,19,5,34,3,256,1,
http://stats.ncaa.org/team/388/16000,Marshall,Sun Belt,,25,302,117,845,0.219,252,21,28,393,45,12,76,3,373,5,
http://stats.ncaa.org/team/392/16000,Maryland,Big Ten,,21,234,74,569,0.281,205,43,38,233,27,10,128,4,351,6,
http://stats.ncaa.org/team/402/16000,McNeese,Southland,,24,228,141,865,0.101,209,27,48,415,41,9,108,5,318,4,
http://stats.ncaa.org/team/404/16000,Memphis,AAC,,29,333,179,996,0.155,306,28,55,395,32,15,60,16,406,2,
http://stats.ncaa.org/team/406/16000,Mercer,SoCon,,21,249,100,676,0.22,218,49,56,237,45,14,57,18,340.5,3,
http://stats.ncaa.org/team/410/16000,Merrimack,NEC,,13,145,66,401,0.197,130,33,35,148,26,7,22,6,196,7,
http://stats.ncaa.org/team/415/16000,Miami (FL),ACC,,21,279,78,676,0.297,253,35,32,262,13,8,84,15,364,2,
http://stats.ncaa.org/team/414/16000,Miami (OH),MAC,,24,264,131,785,0.169,251,34,54,307,46,8,30,2,321,4,
http://stats.ncaa.org/team/418/16000,Michigan,Big Ten,,21,310,90,674,0.326,288,38,50,287,27,1,73,15,385.5,1,
http://stats.ncaa.org/team/416/16000,Michigan St.,Big Ten,,25,331,133,774,0.256,309,52,52,309,32,10,90,7,438,,
http://stats.ncaa.org/team/419/16000,Middle Tenn.,C-USA,,23,272,100,735,0.234,240,44,65,322,35,23,66,11,372,1,
http://stats.ncaa.org/team/797/16000,Milwaukee,Horizon,,24,287,113,845,0.206,266,15,40,330,36,7,78,15,348,5,
http://stats.ncaa.org/team/428/16000,Minnesota,Big Ten,,15,189,70,450,0.264,179,29,46,147,17,5,70,4,258,1,
http://stats.ncaa.org/team/430/16000,Mississippi St.,SEC,,17,266,80,612,0.304,249,27,40,280,22,10,52,,329,2,
http://stats.ncaa.org/team/432/16000,Mississippi Val.,SWAC,,9,33,50,194,-0.088,31,6,18,90,45,2,8,4,45,2,
http://stats.ncaa.org/team/434/16000,Missouri,SEC,,23,298,111,739,0.253,271,40,30,346,38,6,98,11,393,11,
http://stats.ncaa.org/team/669/16000,Missouri St.,MVC,,23,249,125,828,0.15,236,35,36,373,42,12,58,8,325,1,
http://stats.ncaa.org/team/441/16000,Montana,Big Sky,,19,249,91,667,0.237,228,40,48,276,28,3,80,2,332,5,
http://stats.ncaa.org/team/440/16000,Montana St.,Big Sky,,27,282,125,868,0.181,263,38,84,337,33,11,118,11,390,5,
http://stats.ncaa.org/team/444/16000,Morehead St.,OVC,,16,192,91,484,0.209,175,18,31,173,31,6,30,8,231,,
http://stats.ncaa.org/team/446/16000,Morgan St.,MEAC,,22,188,130,659,0.088,167,24,60,263,55,4,50,11,241,4,
http://stats.ncaa.org/team/454/16000,Murray St.,MVC,,21,262,148,750,0.152,231,18,44,331,29,7,40,3,307,2,
http://stats.ncaa.org/team/488/16000,N.C. A&T,CAA,,29,317,153,891,0.184,298,49,52,370,51,15,80,10,421,11,
http://stats.ncaa.org/team/489/16000,N.C. Central,MEAC,,13,112,67,399,0.113,101,12,36,157,29,6,26,7,143,8,
http://stats.ncaa.org/team/490/16000,NC State,ACC,,22,285,120,817,0.202,255,36,52,354,32,8,67,5,362.5,4,
http://stats.ncaa.org/team/503/16000,NIU,MAC,,22,307,104,821,0.247,269,37,64,358,38,4,72,9,384,3,
http://stats.ncaa.org/team/471/16000,NJIT,America East,,22,231,134,760,0.128,210,21,49,291,34,13,48,3,289,4,
http://stats.ncaa.org/team/726/16000,Navy,Patriot,,23,271,144,725,0.175,258,35,76,244,61,4,78,2,349,4,
http://stats.ncaa.org/team/463/16000,Nebraska,Big Ten,,15,207,63,492,0.293,182,18,40,227,10,2,83,5,268.5,3,
http://stats.ncaa.org/team/466/16000,Nevada,Mountain West,,23,291,156,900,0.15,261,33,41,402,40,8,84,15,374,5,
http://stats.ncaa.org/team/469/16000,New Hampshire,America East,,24,284,95,719,0.263,246,48,50,314,53,7,76,11,377,3,
http://stats.ncaa.org/team/473/16000,New Mexico,Mountain West,,21,261,113,766,0.193,236,45,34,320,25,6,58,6,341,6,
http://stats.ncaa.org/team/472/16000,New Mexico St.,WAC,,20,267,105,689,0.235,246,40,48,316,36,15,69,10,356.5,8,
http://stats.ncaa.org/team/474/16000,New Orleans,Southland,,25,273,127,934,0.156,252,51,47,444,39,11,56,6,363,7,
http://stats.ncaa.org/team/482/16000,Niagara,MAAC,,19,205,106,664,0.149,196,23,32,255,35,8,52,10,262,3,
http://stats.ncaa.org/team/483/16000,Nicholls,Southland,,23,277,127,815,0.184,253,35,49,321,30,7,54,5,346,5,
http://stats.ncaa.org/team/485/16000,Norfolk St.,MEAC,,10,98,60,318,0.119,91,10,19,125,14,3,19,1,120.5,4,
http://stats.ncaa.org/team/487/16000,North Ala.,ASUN,,17,219,55,617,0.266,209,26,33,339,22,2,54,5,274,3,
http://stats.ncaa.org/team/457/16000,North Carolina,ACC,,18,227,103,567,0.219,208,35,35,207,17,3,60,4,295,7,
http://stats.ncaa.org/team/494/16000,North Dakota,Summit League,,20,203,135,643,0.106,185,27,44,247,48,5,61,3,265.5,15,
http://stats.ncaa.org/team/493/16000,North Dakota St.,Summit League,,23,296,104,788,0.244,267,37,37,329,27,11,44,7,366,2,
http://stats.ncaa.org/team/2711/16000,North Florida,ASUN,,16,201,74,516,0.246,183,25,52,204,38,7,46,7,256,2,
http://stats.ncaa.org/team/497/16000,North Texas,C-USA,,26,351,147,938,0.217,332,37,43,389,39,13,96,10,449,18,
http://stats.ncaa.org/team/500/16000,Northeastern,CAA,,23,271,126,750,0.193,252,26,40,321,44,6,58,7,332,9,
http://stats.ncaa.org/team/501/16000,Northern Ariz.,Big Sky,,16,176,68,604,0.179,161,30,33,251,16,6,62,5,243,2,
http://stats.ncaa.org/team/502/16000,Northern Colo.,Big Sky,,19,261,83,624,0.285,244,24,39,263,26,14,65,5,331.5,1,
http://stats.ncaa.org/team/505/16000,Northern Ky.,Horizon,,23,251,144,784,0.136,236,25,52,308,33,3,103,11,330.5,8,
http://stats.ncaa.org/team/509/16000,Northwestern,Big Ten,,20,281,78,611,0.332,250,39,36,265,30,10,78,6,369,2,
http://stats.ncaa.org/team/508/16000,Northwestern St.,Southland,,23,228,94,695,0.193,202,40,34,276,53,26,70,7,329,28,
http://stats.ncaa.org/team/513/16000,Notre Dame,ACC,,19,216,96,648,0.185,206,25,42,283,29,8,54,7,276,3,
http://stats.ncaa.org/team/514/16000,Oakland,Horizon,,23,255,116,806,0.172,240,30,28,393,31,12,50,4,322,5,
http://stats.ncaa.org/team/519/16000,Ohio,MAC,,17,226,94,598,0.221,204,21,29,242,34,10,26,5,270,4,
http://stats.ncaa.org/team/518/16000,Ohio St.,Big Ten,,14,193,73,496,0.242,179,15,43,167,23,8,30,4,231,2,
http://stats.ncaa.org/team/522/16000,Oklahoma,Big 12,,23,312,102,775,0.271,286,32,41,326,38,8,84,9,394,5,
http://stats.ncaa.org/team/523/16000,Old Dominion,Sun Belt,,20,219,139,659,0.121,198,36,38,257,33,7,76,11,300,3,
http://stats.ncaa.org/team/433/16000,Ole Miss,SEC,,14,172,77,462,0.206,160,11,41,162,20,5,63,3,219.5,,
http://stats.ncaa.org/team/464/16000,Omaha,Summit League,,20,275,104,716,0.239,253,30,41,273,13,12,72,5,353,,
http://stats.ncaa.org/team/527/16000,Oral Roberts,Summit League,,25,295,150,872,0.166,275,28,43,368,44,12,90,10,380,6,
http://stats.ncaa.org/team/529/16000,Oregon,Pac-12,,16,231,73,547,0.289,216,19,43,236,12,4,59,15,283.5,,
http://stats.ncaa.org/team/528/16000,Oregon St.,Pac-12,,22,269,135,743,0.18,250,24,31,322,31,7,77,12,338.5,5,
http://stats.ncaa.org/team/534/16000,Pacific,WCC,,21,291,143,769,0.192,275,31,49,315,26,10,34,14,349,2,
http://stats.ncaa.org/team/540/16000,Penn,Ivy League,,11,143,67,375,0.203,138,17,18,171,12,2,32,6,178,2,
http://stats.ncaa.org/team/539/16000,Penn St.,Big Ten,,21,299,106,696,0.277,281,34,33,261,14,7,98,7,389,5,
