URL,Institution,Conference,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RetAtt,RErr,Block Solos,Block Assists,BErr,PTS,BHE,SrvAtt
http://stats.ncaa.org/team/26172/16620,A&M-Corpus Christi,Southland,21,,252,87,696,0.237,238,26,47,285,410,30,13,24,7,303,,
http://stats.ncaa.org/team/2/16620,Abilene Christian,WAC,20,,235,123,696,0.161,208,27,55,264,409,26,6,48,5,292,,
http://stats.ncaa.org/team/721/16620,Air Force,Mountain West,19,,207,117,657,0.137,190,23,45,268,408,22,2,55,10,259.5,,
http://stats.ncaa.org/team/5/16620,Akron,MAC,24,,321,113,854,0.244,308,39,55,379,459,22,2,102,7,413,3,
http://stats.ncaa.org/team/8/16620,Alabama,SEC,23,,310,110,793,0.252,281,47,70,304,403,28,10,68,8,401,,
http://stats.ncaa.org/team/6/16620,Alabama A&M,SWAC,27,,256,127,875,0.147,238,42,53,370,560,69,8,60,7,336,2,
http://stats.ncaa.org/team/7/16620,Alabama St.,SWAC,23,,261,119,716,0.198,237,31,46,285,459,52,9,68,12,335,4,
http://stats.ncaa.org/team/17/16620,Alcorn,SWAC,12,,63,64,300,-0.003,54,3,18,116,260,46,1,20,8,77,1,
http://stats.ncaa.org/team/23/16620,American,Patriot,34,,433,142,"1,042",0.279,404,68,75,455,584,56,16,86,12,560,1,
http://stats.ncaa.org/team/27/16620,App State,Sun Belt,24,,286,120,778,0.213,266,26,58,336,451,33,9,54,13,348,,
http://stats.ncaa.org/team/29/16620,Arizona,Big 12,21,,301,96,718,0.286,289,37,63,321,363,29,7,54,1,372,1,
http://stats.ncaa.org/team/28/16620,Arizona St.,Big 12,21,,290,77,670,0.318,265,50,45,304,303,21,10,58,5,379,1,
http://stats.ncaa.org/team/2678/16620,Ark.-Pine Bluff,SWAC,24,,195,128,795,0.084,176,19,37,328,515,49,11,86,4,268,1,
http://stats.ncaa.org/team/31/16620,Arkansas,SEC,24,,334,104,872,0.264,319,37,46,411,414,27,5,88,10,420,1,
http://stats.ncaa.org/team/30/16620,Arkansas St.,Sun Belt,23,,295,141,789,0.195,265,39,50,338,398,27,14,68,19,382,2,
http://stats.ncaa.org/team/725/16620,Army West Point,Patriot,23,,276,136,786,0.178,256,31,53,316,465,26,11,53,8,344.5,,
http://stats.ncaa.org/team/37/16620,Auburn,SEC,20,,280,86,789,0.246,256,23,43,377,354,9,6,111,11,364.5,,
http://stats.ncaa.org/team/43/16620,Austin Peay,ASUN,20,,193,148,654,0.069,173,29,38,253,424,41,9,68,19,265,,
http://stats.ncaa.org/team/47/16620,Ball St.,MAC,19,,254,94,623,0.257,237,20,43,249,370,34,11,70,11,320,1,
http://stats.ncaa.org/team/51/16620,Baylor,Big 12,25,,291,104,857,0.218,239,38,46,379,415,31,17,82,22,387,,
http://stats.ncaa.org/team/52/16620,Bellarmine,ASUN,22,,263,131,810,0.163,237,22,78,318,464,28,11,42,8,317,4,
http://stats.ncaa.org/team/14927/16620,Belmont,MVC,23,,303,131,797,0.216,277,43,53,336,436,31,10,74,11,393,,
http://stats.ncaa.org/team/61/16620,Bethune-Cookman,SWAC,25,,273,119,828,0.186,244,33,38,354,506,53,23,84,3,371,5,
http://stats.ncaa.org/team/62/16620,Binghamton,America East,30,,360,130,"1,012",0.227,330,53,69,377,574,42,8,133,8,487.5,1,
http://stats.ncaa.org/team/66/16620,Boise St.,Mountain West,19,,263,102,673,0.239,247,46,37,270,357,14,5,77,4,352.5,,
http://stats.ncaa.org/team/67/16620,Boston College,ACC,21,,291,96,714,0.273,272,39,38,322,377,27,11,118,13,400,,
