school,playerstatsurl,matchstatsurl
A&M-Corpus Christi,http://stats.ncaa.org/team/26172/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=26172&game_sport_year_ctl_id=16920&stats_player_seq=-100
Abilene Christian,http://stats.ncaa.org/team/2/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=2&game_sport_year_ctl_id=16920&stats_player_seq=-100
Air Force,http://stats.ncaa.org/team/721/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=721&game_sport_year_ctl_id=16920&stats_player_seq=-100
Akron,http://stats.ncaa.org/team/5/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=5&game_sport_year_ctl_id=16920&stats_player_seq=-100
Alabama,http://stats.ncaa.org/team/8/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=8&game_sport_year_ctl_id=16920&stats_player_seq=-100
Alabama A&M,http://stats.ncaa.org/team/6/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=6&game_sport_year_ctl_id=16920&stats_player_seq=-100
Alabama St.,http://stats.ncaa.org/team/7/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=7&game_sport_year_ctl_id=16920&stats_player_seq=-100
Alcorn,http://stats.ncaa.org/team/17/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=17&game_sport_year_ctl_id=16920&stats_player_seq=-100
American,http://stats.ncaa.org/team/23/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=23&game_sport_year_ctl_id=16920&stats_player_seq=-100
App State,http://stats.ncaa.org/team/27/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=27&game_sport_year_ctl_id=16920&stats_player_seq=-100
Arizona,http://stats.ncaa.org/team/29/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=29&game_sport_year_ctl_id=16920&stats_player_seq=-100
Arizona St.,http://stats.ncaa.org/team/28/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=28&game_sport_year_ctl_id=16920&stats_player_seq=-100
Ark.-Pine Bluff,http://stats.ncaa.org/team/2678/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=2678&game_sport_year_ctl_id=16920&stats_player_seq=-100
Arkansas,http://stats.ncaa.org/team/31/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=31&game_sport_year_ctl_id=16920&stats_player_seq=-100
Arkansas St.,http://stats.ncaa.org/team/30/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=30&game_sport_year_ctl_id=16920&stats_player_seq=-100
Army West Point,http://stats.ncaa.org/team/725/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=725&game_sport_year_ctl_id=16920&stats_player_seq=-100
Auburn,http://stats.ncaa.org/team/37/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=37&game_sport_year_ctl_id=16920&stats_player_seq=-100
Austin Peay,http://stats.ncaa.org/team/43/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=43&game_sport_year_ctl_id=16920&stats_player_seq=-100
Ball St.,http://stats.ncaa.org/team/47/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=47&game_sport_year_ctl_id=16920&stats_player_seq=-100
Baylor,http://stats.ncaa.org/team/51/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=51&game_sport_year_ctl_id=16920&stats_player_seq=-100
Bellarmine,http://stats.ncaa.org/team/52/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=52&game_sport_year_ctl_id=16920&stats_player_seq=-100
Belmont,http://stats.ncaa.org/team/14927/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=14927&game_sport_year_ctl_id=16920&stats_player_seq=-100
Bethune-Cookman,http://stats.ncaa.org/team/61/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=61&game_sport_year_ctl_id=16920&stats_player_seq=-100
Binghamton,http://stats.ncaa.org/team/62/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=62&game_sport_year_ctl_id=16920&stats_player_seq=-100
Boise St.,http://stats.ncaa.org/team/66/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=66&game_sport_year_ctl_id=16920&stats_player_seq=-100
Boston College,http://stats.ncaa.org/team/67/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=67&game_sport_year_ctl_id=16920&stats_player_seq=-100
Bowling Green,http://stats.ncaa.org/team/71/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=71&game_sport_year_ctl_id=16920&stats_player_seq=-100
Bradley,http://stats.ncaa.org/team/72/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=72&game_sport_year_ctl_id=16920&stats_player_seq=-100
Brown,http://stats.ncaa.org/team/80/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=80&game_sport_year_ctl_id=16920&stats_player_seq=-100
Bryant,http://stats.ncaa.org/team/81/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=81&game_sport_year_ctl_id=16920&stats_player_seq=-100
Bucknell,http://stats.ncaa.org/team/83/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=83&game_sport_year_ctl_id=16920&stats_player_seq=-100
Buffalo,http://stats.ncaa.org/team/86/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=86&game_sport_year_ctl_id=16920&stats_player_seq=-100
Butler,http://stats.ncaa.org/team/87/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=87&game_sport_year_ctl_id=16920&stats_player_seq=-100
BYU,http://stats.ncaa.org/team/77/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=77&game_sport_year_ctl_id=16920&stats_player_seq=-100
Cal Poly,http://stats.ncaa.org/team/90/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=90&game_sport_year_ctl_id=16920&stats_player_seq=-100
Cal St. Fullerton,http://stats.ncaa.org/team/97/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=97&game_sport_year_ctl_id=16920&stats_player_seq=-100
California,http://stats.ncaa.org/team/107/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=107&game_sport_year_ctl_id=16920&stats_player_seq=-100
California Baptist,http://stats.ncaa.org/team/30135/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=30135&game_sport_year_ctl_id=16920&stats_player_seq=-100
Campbell,http://stats.ncaa.org/team/115/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=115&game_sport_year_ctl_id=16920&stats_player_seq=-100
Canisius,http://stats.ncaa.org/team/116/stats/16920,https://stats.ncaa.org/player/game_by_game?org_id=116&game_sport_year_ctl_id=16920&stats_player_seq=-100
