URL,Institution,Conference,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RetAtt,RErr,Block Solos,Block Assists,BErr,TB,PTS,BHE,SrvAtt
https://stats.ncaa.org/team/26172/16480,A&M-Corpus Christi,Southland,12,,158,57,422,0.239,139,22,30,195,238,19,13,8,3,17,197,2,
https://stats.ncaa.org/team/2/16480,Abilene Christian,WAC,8,,110,45,322,0.202,103,15,30,136,168,6,3,26,3,16,141,1,
https://stats.ncaa.org/team/721/16480,Air Force,Mountain West,12,,148,63,371,0.229,138,15,28,134,218,12,8,63,8,39.5,202.5,2,
https://stats.ncaa.org/team/5/16480,Akron,MAC,12,,120,70,414,0.121,113,22,18,169,251,22,1,48,5,25,167,5,
https://stats.ncaa.org/team/8/16480,Alabama,SEC,9,,111,22,252,0.353,107,34,31,112,113,8,6,20,1,16,161,2,
https://stats.ncaa.org/team/6/16480,Alabama A&M,SWAC,12,,118,72,341,0.135,101,15,30,122,246,29,12,26,2,25,158,2,
https://stats.ncaa.org/team/7/16480,Alabama St.,SWAC,10,,92,50,311,0.135,88,10,18,117,212,25,8,20,10,18,120,2,
https://stats.ncaa.org/team/17/16480,Alcorn,SWAC,9,,55,44,224,0.049,51,11,15,72,190,23,4,6,,7,73,4,
https://stats.ncaa.org/team/23/16480,American,Patriot,13,,154,69,415,0.205,143,20,31,195,222,18,6,32,9,22,196,2,
https://stats.ncaa.org/team/27/16480,App State,Sun Belt,9,,112,33,279,0.283,97,18,23,111,149,5,11,33,1,27.5,157.5,2,
https://stats.ncaa.org/team/29/16480,Arizona,Pac-12,13,,161,61,418,0.239,145,14,24,189,258,29,3,33,4,19.5,194.5,1,
https://stats.ncaa.org/team/28/16480,Arizona St.,Pac-12,9,,116,18,259,0.378,105,24,23,114,113,4,5,42,,26,166,1,
https://stats.ncaa.org/team/2678/16480,Ark.-Pine Bluff,SWAC,9,,58,50,231,0.035,46,10,17,74,198,23,3,16,8,11,79,4,
https://stats.ncaa.org/team/31/16480,Arkansas,SEC,6,,89,19,204,0.343,85,11,19,102,77,2,3,24,4,15,115,,
https://stats.ncaa.org/team/30/16480,Arkansas St.,Sun Belt,11,,146,68,418,0.187,140,20,24,202,201,18,4,30,3,19,185,4,
https://stats.ncaa.org/team/725/16480,Army West Point,Patriot,11,,126,71,389,0.141,117,17,24,154,206,13,8,32,2,24,167,,
https://stats.ncaa.org/team/37/16480,Auburn,SEC,10,,141,33,319,0.339,124,16,40,118,159,6,9,35,4,26.5,183.5,,
https://stats.ncaa.org/team/43/16480,Austin Peay,ASUN,12,,130,72,389,0.149,124,13,13,159,239,22,10,28,6,24,167,5,
https://stats.ncaa.org/team/77/16480,Ball St.,MAC,10,,137,41,339,0.283,129,13,13,150,178,14,6,26,1,19,169,3,
https://stats.ncaa.org/team/47/16480,Baylor,Big 12,7,,68,54,222,0.063,64,14,17,85,144,11,2,17,5,10.5,92.5,,
https://stats.ncaa.org/team/51/16480,Bellarmine,ASUN,10,,102,59,297,0.145,91,13,17,110,217,27,5,22,,16,131,,
https://stats.ncaa.org/team/52/16480,Belmont,MVC,12,,144,70,390,0.19,133,19,29,151,238,23,5,50,6,30,193,5,
https://stats.ncaa.org/team/14927/16480,Bethune-Cookman,SWAC,9,,71,43,277,0.101,69,9,19,102,205,27,15,26,7,28,108,2,
