school,playerstatsurl,matchstatsurl
A&M-Corpus Christi,https://stats.ncaa.org/team/26172/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=26172&stats_player_seq=-100
Abilene Christian,https://stats.ncaa.org/team/2/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=2&stats_player_seq=-100
Air Force,https://stats.ncaa.org/team/721/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=721&stats_player_seq=-100
Akron,https://stats.ncaa.org/team/5/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=5&stats_player_seq=-100
Alabama,https://stats.ncaa.org/team/8/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=8&stats_player_seq=-100
Alabama A&M,https://stats.ncaa.org/team/6/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=6&stats_player_seq=-100
Alabama St.,https://stats.ncaa.org/team/7/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=7&stats_player_seq=-100
Albany (NY),https://stats.ncaa.org/team/14/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=14&stats_player_seq=-100
Alcorn,https://stats.ncaa.org/team/17/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=17&stats_player_seq=-100
American,https://stats.ncaa.org/team/23/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=23&stats_player_seq=-100
App State,https://stats.ncaa.org/team/27/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=27&stats_player_seq=-100
Arizona,https://stats.ncaa.org/team/29/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=29&stats_player_seq=-100
Arizona St.,https://stats.ncaa.org/team/28/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=28&stats_player_seq=-100
Ark.-Pine Bluff,https://stats.ncaa.org/team/2678/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=2678&stats_player_seq=-100
Arkansas,https://stats.ncaa.org/team/31/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=31&stats_player_seq=-100
Arkansas St.,https://stats.ncaa.org/team/30/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=30&stats_player_seq=-100
Army West Point,https://stats.ncaa.org/team/725/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=725&stats_player_seq=-100
Auburn,https://stats.ncaa.org/team/37/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=37&stats_player_seq=-100
Austin Peay,https://stats.ncaa.org/team/43/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=43&stats_player_seq=-100
Ball St.,https://stats.ncaa.org/team/47/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=47&stats_player_seq=-100
Baylor,https://stats.ncaa.org/team/51/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=51&stats_player_seq=-100
Belmont,https://stats.ncaa.org/team/14927/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=14927&stats_player_seq=-100
Bethune-Cookman,https://stats.ncaa.org/team/61/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=61&stats_player_seq=-100
Binghamton,https://stats.ncaa.org/team/62/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=62&stats_player_seq=-100
Boise St.,https://stats.ncaa.org/team/66/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=66&stats_player_seq=-100
Boston College,https://stats.ncaa.org/team/67/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=67&stats_player_seq=-100
Bowling Green,https://stats.ncaa.org/team/71/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=71&stats_player_seq=-100
Bradley,https://stats.ncaa.org/team/72/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=72&stats_player_seq=-100
Brown,https://stats.ncaa.org/team/80/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=80&stats_player_seq=-100
Bryant,https://stats.ncaa.org/team/81/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=81&stats_player_seq=-100
Bucknell,https://stats.ncaa.org/team/83/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=83&stats_player_seq=-100
Buffalo,https://stats.ncaa.org/team/86/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=86&stats_player_seq=-100
Butler,https://stats.ncaa.org/team/87/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=87&stats_player_seq=-100
BYU,https://stats.ncaa.org/team/77/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=77&stats_player_seq=-100
Cal Poly,https://stats.ncaa.org/team/90/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=90&stats_player_seq=-100
Cal St. Fullerton,https://stats.ncaa.org/team/97/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=97&stats_player_seq=-100
California,https://stats.ncaa.org/team/107/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=107&stats_player_seq=-100
California Baptist,https://stats.ncaa.org/team/30135/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=30135&stats_player_seq=-100
Campbell,https://stats.ncaa.org/team/115/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=115&stats_player_seq=-100
Canisius,https://stats.ncaa.org/team/116/stats/14242,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=14242&org_id=116&stats_player_seq=-100
