ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,attend.x,s,mp,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,r_err,block_solos,block_assists,b_err,pts.x,bhe.x,attend.y,defensive_s,defensive_mp,defensive_kills,defensive_errors,defensive_total_attacks,defensive_hit_pct,defensive_assists,defensive_aces,defensive_s_err,defensive_digs,defensive_r_err,defensive_block_solos,defensive_block_assists,defensive_b_err,pts.y,bhe.y
26172,2018-09-20,A&M-Corpus Christi,Nicholls,Home,W,3,0,0,3,0,41,20,108,0.194,37,11,6,47,3,1,10,0,58,1,0,3,0,29,16,98,0.133,24,3,6,38,11,2,8,4,38,NA
26172,2018-09-22,A&M-Corpus Christi,New Orleans,Home,W,3,0,0,3,0,47,14,119,0.277,46,9,11,52,1,1,4,1,59,NA,0,3,0,34,13,103,0.204,33,1,5,46,9,1,12,0,42,2
26172,2018-09-27,A&M-Corpus Christi,Central Ark.,Away,L,1,3,0,4,0,56,23,149,0.221,54,4,12,52,5,1,10,0,66,1,0,4,0,56,23,144,0.229,52,5,3,60,4,1,6,0,65,NA
26172,2018-09-29,A&M-Corpus Christi,SFA,Away,L,0,3,0,3,0,39,22,108,0.157,36,2,9,41,7,1,2,1,43,1,0,3,0,35,8,90,0.3,32,7,5,36,2,2,18,0,53,NA
26172,2018-10-04,A&M-Corpus Christi,UIW,Home,W,3,1,0,4,0,49,17,119,0.269,44,9,12,57,8,0,10,2,63,2,0,4,0,44,16,124,0.226,39,8,12,46,9,0,10,2,57,3
26172,2018-10-09,A&M-Corpus Christi,Sam Houston,Away,L,2,3,0,5,0,44,30,162,0.086,40,3,11,70,3,0,19,2,56.5,8,0,5,0,51,32,159,0.119,45,3,8,75,3,1,18,1,64,5
26172,2018-10-11,A&M-Corpus Christi,Houston Christian,Home,L,2,3,0,5,0,54,28,187,0.139,52,8,10,73,4,2,8,1,68,NA,0,5,0,67,22,172,0.262,60,4,5,88,8,3,16,1,82,2
26172,2018-10-16,A&M-Corpus Christi,Abilene Christian,Away,L,1,3,0,4,0,60,28,161,0.199,58,9,6,65,6,0,8,1,73,NA,0,4,0,53,18,144,0.243,48,6,3,56,9,3,20,0,72,NA
26172,2018-10-18,A&M-Corpus Christi,Lamar University,Home,W,3,2,0,5,0,45,17,130,0.215,42,7,17,54,4,1,11,1,58.5,1,0,5,0,45,25,128,0.156,39,4,10,56,7,0,10,1,54,8
26172,2018-10-20,A&M-Corpus Christi,McNeese,Home,W,3,0,0,3,0,54,14,135,0.296,49,5,10,49,2,0,12,3,65,NA,0,3,0,45,14,115,0.27,44,2,4,54,5,2,8,1,53,2
26172,2018-10-25,A&M-Corpus Christi,Sam Houston,Home,L,2,3,0,5,0,61,29,187,0.171,55,2,11,83,7,0,12,0,69,4,0,5,0,52,20,164,0.195,41,7,3,85,2,3,22,2,73,7
26172,2018-10-27,A&M-Corpus Christi,Abilene Christian,Home,W,3,0,0,3,0,47,24,132,0.174,45,5,4,47,5,0,14,0,59,1,0,3,0,33,16,99,0.172,31,5,3,47,5,1,16,2,47,2
26172,2018-11-01,A&M-Corpus Christi,Southeastern La.,Away,W,3,0,0,3,0,36,9,114,0.237,35,3,5,57,4,1,6,0,43,2,0,3,0,44,20,129,0.186,40,4,5,58,3,0,0,1,48,5
26172,2018-11-03,A&M-Corpus Christi,Northwestern St.,Away,L,2,3,0,5,0,55,30,149,0.168,51,3,6,68,10,0,15,2,65.5,NA,0,5,0,58,22,159,0.226,53,10,6,57,3,3,14,1,78,NA
26172,2018-11-06,A&M-Corpus Christi,Houston Christian,Away,L,1,3,0,4,0,47,17,143,0.21,44,5,5,61,8,2,12,1,60,2,0,4,0,64,23,156,0.263,59,8,5,65,5,2,8,0,78,5
26172,2018-11-10,A&M-Corpus Christi,UIW,Away,W,3,0,0,3,0,46,14,106,0.302,45,5,9,55,2,0,12,0,57,NA,0,3,0,30,17,105,0.124,28,2,8,41,5,2,4,0,36,1
26172,2018-11-16,A&M-Corpus Christi,"SFA Natchiotches, La.",Away,L,1,3,0,4,0,65,28,183,0.202,62,2,4,87,9,0,4,0,69,2,0,4,0,59,10,160,0.306,53,9,5,71,2,1,18,2,78,3
2,2018-08-24,Abilene Christian,"Georgetown Atlanta, Ga.",Away,W,3,1,0,4,0,54,16,131,0.29,49,8,6,59,5,2,16,2,72,NA,0,4,0,46,23,136,0.169,43,5,10,51,8,2,4,2,55,3
2,2018-08-24,Abilene Christian,Winthrop ,Away,W,3,2,0,5,0,50,21,138,0.21,46,9,5,62,7,1,16,2,68,1,0,5,0,59,29,171,0.175,54,7,17,65,9,1,4,1,69,NA
2,2018-08-25,Abilene Christian,Georgia Tech,Away,L,0,3,0,3,0,35,21,110,0.127,31,1,8,47,6,1,8,0,41,NA,0,3,0,39,8,99,0.313,37,6,8,47,1,1,14,1,53,2
2,2018-08-25,Abilene Christian,Idaho St. ,Away,L,2,3,0,5,0,54,25,144,0.201,51,8,6,50,7,1,20,1,73,NA,0,5,0,64,26,150,0.253,61,7,8,58,8,4,18,1,84,2
2,2018-08-28,Abilene Christian,Texas Tech,Home,L,0,3,0,3,0,28,23,98,0.051,27,1,4,34,4,1,14,2,37,NA,0,3,0,41,16,95,0.263,35,4,2,39,1,0,14,1,52,NA
2,2018-08-31,Abilene Christian,"UTSA San Marcos, Texas",Away,L,1,3,0,4,0,48,18,132,0.227,45,5,4,48,11,1,16,1,62,NA,0,4,0,59,24,141,0.248,57,11,4,63,5,2,6,0,75,1
2,2018-09-01,Abilene Christian,"James Madison San Marcos, Texas",Away,L,1,3,0,4,0,47,23,167,0.144,42,7,4,64,7,0,14,1,61,NA,0,4,0,68,15,161,0.329,62,7,7,82,7,0,25,1,87.5,1
2,2018-09-01,Abilene Christian,Texas St.,Away,L,1,3,0,4,0,46,23,167,0.138,43,4,5,65,9,1,24,0,63,NA,0,4,0,60,24,157,0.229,60,9,3,85,4,1,20,0,80,1
2,2018-09-07,Abilene Christian,Tulsa,Away,L,2,3,0,5,0,57,17,182,0.22,50,5,11,87,7,0,12,0,68,NA,0,5,0,70,26,202,0.218,65,7,13,87,5,2,4,0,81,NA
2,2018-09-08,Abilene Christian,"Oral Roberts Tulsa, Okla.",Away,W,3,2,0,5,0,61,23,187,0.203,57,3,11,84,2,0,36,1,82,1,0,5,0,60,36,206,0.117,56,2,4,88,3,1,16,1,71,NA
2,2018-09-14,Abilene Christian,SMU,Away,L,2,3,0,5,0,58,31,185,0.146,54,2,8,78,2,0,20,2,70,2,0,5,0,65,31,188,0.181,59,2,3,85,2,3,12,3,76,2
2,2018-09-14,Abilene Christian,"LSU Dallas, Texas",Away,L,1,3,0,4,0,42,21,147,0.143,39,3,11,63,13,1,12,1,52,NA,0,4,0,55,25,148,0.203,52,13,7,74,3,1,16,4,77,2
2,2018-09-20,Abilene Christian,Lamar University,Home,W,3,0,0,3,0,36,11,88,0.284,33,5,6,36,0,1,8,0,46,NA,0,3,0,35,19,98,0.163,31,0,6,37,5,2,8,0,41,NA
2,2018-09-22,Abilene Christian,McNeese,Home,W,3,1,0,4,0,54,26,169,0.166,51,8,5,71,2,1,13,0,69.5,NA,0,4,0,43,20,145,0.159,39,2,6,73,8,1,28,0,60,NA
2,2018-09-29,Abilene Christian,UIW,Away,W,3,2,0,5,0,73,25,185,0.259,66,9,11,65,8,0,22,0,93,1,0,5,0,62,25,164,0.226,60,8,7,82,9,1,14,2,78,3
2,2018-10-06,Abilene Christian,Sam Houston,Away,L,1,3,0,4,0,48,19,168,0.173,48,2,6,72,9,4,12,1,60,NA,0,4,0,66,21,183,0.246,61,9,10,82,2,3,6,2,81,NA
2,2018-10-09,Abilene Christian,Houston Christian,Home,W,3,2,0,5,0,66,24,210,0.2,60,3,1,89,6,1,22,0,81,NA,0,5,0,77,30,210,0.224,68,6,7,95,3,0,8,0,87,NA
2,2018-10-11,Abilene Christian,New Orleans,Away,W,3,1,0,4,0,58,21,152,0.243,53,5,5,70,5,2,9,3,69.5,NA,0,4,0,54,24,160,0.188,51,5,9,60,5,0,18,0,68,1
2,2018-10-13,Abilene Christian,Nicholls,Away,W,3,1,0,4,0,54,14,141,0.284,48,5,5,64,6,1,22,2,71,NA,0,4,0,48,28,152,0.132,45,6,7,63,5,1,4,1,57,2
2,2018-10-16,Abilene Christian,A&M-Corpus Christi,Home,W,3,1,0,4,0,53,18,144,0.243,48,6,3,56,9,3,20,0,72,NA,0,4,0,60,28,161,0.199,58,9,6,65,6,0,8,1,73,NA
2,2018-10-18,Abilene Christian,Northwestern St.,Home,W,3,1,0,4,0,58,19,169,0.231,55,3,3,73,4,0,26,4,74,NA,0,4,0,58,30,173,0.162,50,4,6,73,3,3,6,4,68,NA
2,2018-10-20,Abilene Christian,Southeastern La.,Home,W,3,1,0,4,0,56,22,117,0.291,54,6,7,37,5,0,10,1,67,3,0,4,0,45,21,120,0.2,42,5,10,32,6,1,16,1,59,3
2,2018-10-25,Abilene Christian,Houston Christian,Away,L,1,3,0,4,0,47,17,154,0.195,45,1,7,76,5,1,14,2,56,NA,0,4,0,66,24,176,0.239,55,5,12,77,1,1,16,2,80,1
2,2018-10-27,Abilene Christian,A&M-Corpus Christi,Away,L,0,3,0,3,0,33,16,99,0.172,31,5,3,47,5,1,16,2,47,2,0,3,0,47,24,132,0.174,45,5,4,47,5,0,14,0,59,1
2,2018-10-30,Abilene Christian,Nicholls,Home,W,3,0,0,3,0,34,12,77,0.286,32,8,7,29,0,1,18,2,52,NA,0,3,0,34,20,90,0.156,32,0,9,28,8,3,2,2,38,NA
2,2018-11-01,Abilene Christian,Central Ark.,Away,L,0,3,0,3,0,33,25,115,0.07,30,3,5,46,5,2,18,0,47,NA,0,3,0,41,20,117,0.179,38,5,5,51,3,1,20,1,57,1
2,2018-11-03,Abilene Christian,SFA,Away,L,1,3,0,4,0,45,45,176,0,43,2,6,79,2,1,11,1,53.5,NA,0,4,0,45,17,153,0.183,40,2,7,74,2,2,47,0,72.5,1
2,2018-11-10,Abilene Christian,Sam Houston,Home,L,1,3,0,4,0,49,28,175,0.12,43,0,3,78,3,1,23,0,61.5,NA,0,4,0,55,23,168,0.19,50,3,10,91,0,1,16,0,67,NA
2,2018-11-16,Abilene Christian,"Houston Christian Natchitoches, La.",Away,L,2,3,0,5,0,51,18,166,0.199,45,3,8,79,7,1,18,0,64,2,0,5,0,64,34,187,0.16,58,7,10,86,3,1,14,3,79,4
721,2018-08-24,Air Force,UNC Greensboro,Away,L,2,3,0,5,0,50,19,150,0.207,47,10,5,77,5,1,19,2,70.5,3,0,5,0,66,28,182,0.209,60,5,14,72,10,1,16,2,80,2
721,2018-08-25,Air Force,Wake Forest,Away,W,3,1,0,4,0,55,17,138,0.275,53,7,19,58,10,1,4,2,65,NA,0,4,0,43,20,123,0.187,39,10,12,52,7,2,11,2,60.5,1
721,2018-08-25,Air Force,"Maryland Winston-Salem, N.C.",Away,W,3,2,0,5,0,63,33,168,0.179,58,11,11,68,3,1,10,0,80,1,0,5,0,56,23,151,0.219,55,3,11,63,11,1,18,3,69,NA
721,2018-08-31,Air Force,"Loyola Maryland Arlington, Texas",Away,W,3,1,0,4,0,57,25,174,0.184,51,4,12,83,2,2,18,1,72,4,0,4,0,42,24,155,0.116,39,2,8,81,4,3,8,0,51,3
721,2018-08-31,Air Force,"UT Arlington Arlington, Texas",Away,L,0,3,0,3,0,34,25,119,0.076,31,2,8,51,3,2,4,1,40,1,0,3,0,38,17,110,0.191,35,3,6,51,2,1,8,0,46,NA
721,2018-09-01,Air Force,"Binghamton Arlington, Texas",Away,W,3,0,0,3,0,44,9,105,0.333,44,3,8,57,5,1,8,0,52,3,0,3,0,29,19,114,0.088,29,5,5,49,3,1,2,1,36,2
721,2018-09-03,Air Force,McNeese,Home,W,3,0,0,3,0,48,26,122,0.18,47,5,12,59,4,0,12,3,59,NA,0,3,0,27,17,113,0.088,27,4,8,40,5,2,14,0,40,2
721,2018-09-06,Air Force,CSU Bakersfield,Home,W,3,0,0,3,0,45,14,97,0.32,40,2,6,47,2,1,6,0,51,2,0,3,0,25,22,104,0.029,24,2,6,35,2,1,10,2,33,NA
721,2018-09-07,Air Force,Valparaiso,Home,L,1,3,0,4,0,61,21,171,0.234,60,6,13,74,4,2,10,7,74,1,0,4,0,57,20,165,0.224,51,4,3,81,6,2,2,1,64,NA
721,2018-09-07,Air Force,California Baptist,Home,W,3,1,0,4,0,58,23,163,0.215,57,7,10,73,5,0,16,4,73,2,0,4,0,47,25,163,0.135,42,5,2,65,7,1,10,2,58,NA
721,2018-09-08,Air Force,Presbyterian,Home,W,3,2,0,5,0,52,28,153,0.157,48,4,7,68,9,0,19,5,65.5,4,0,5,0,46,24,150,0.147,45,9,7,60,4,1,12,2,62,5
721,2018-09-14,Air Force,Samford,Home,W,3,1,0,4,0,58,20,148,0.257,55,6,9,65,8,5,20,3,79,1,0,4,0,50,26,151,0.159,49,8,4,57,6,1,10,1,64,2
721,2018-09-14,Air Force,UMES,Home,W,3,0,0,3,0,43,18,113,0.221,40,10,7,61,2,3,10,0,61,1,0,3,0,26,12,100,0.14,24,2,8,42,10,1,16,3,37,2
721,2018-09-15,Air Force,Navy,Home,L,2,3,0,5,0,65,29,170,0.212,61,4,15,68,3,1,2,1,71,1,0,5,0,57,13,150,0.293,47,3,11,59,4,2,18,0,71,4
721,2018-09-23,Air Force,San Diego St.,Home,W,3,0,0,3,0,40,16,115,0.209,38,6,9,51,3,2,14,0,55,NA,0,3,0,38,23,126,0.119,36,3,6,52,6,1,10,2,47,1
721,2018-09-28,Air Force,UNLV,Home,W,3,1,0,4,0,53,19,128,0.266,48,6,16,60,3,1,20,2,70,NA,0,4,0,43,21,135,0.163,40,3,12,49,6,0,10,3,51,2
721,2018-09-30,Air Force,New Mexico,Home,L,2,3,0,5,0,64,30,176,0.193,63,5,12,65,1,3,18,1,81,3,0,5,0,59,22,154,0.24,57,1,4,64,5,3,32,1,79,NA
721,2018-10-04,Air Force,Wyoming,Away,L,2,3,0,5,0,54,34,154,0.13,52,9,13,62,1,2,14,2,72,1,0,5,0,59,28,162,0.191,54,1,13,55,9,1,34,0,78,1
721,2018-10-05,Air Force,Colorado St.,Away,L,0,3,0,3,0,25,19,83,0.072,25,0,8,34,7,2,4,2,29,NA,0,3,0,40,14,92,0.283,38,7,10,34,0,3,16,1,58,NA
721,2018-10-11,Air Force,San Jose St.,Home,L,2,3,0,5,0,53,23,156,0.192,51,10,11,64,8,2,28,0,79,2,0,5,0,61,36,175,0.143,55,8,8,66,10,2,18,2,80,NA
721,2018-10-13,Air Force,Nevada,Home,W,3,2,0,5,0,54,27,154,0.175,52,8,11,56,3,3,12,1,71,NA,0,5,0,55,31,155,0.155,54,3,8,62,8,1,13,2,65.5,NA
721,2018-10-18,Air Force,Utah St.,Away,L,1,3,0,4,0,55,32,155,0.148,54,5,13,63,6,1,10,2,66,NA,0,4,0,44,21,140,0.164,39,6,8,55,5,3,28,1,67,NA
721,2018-10-20,Air Force,Boise St.,Away,L,2,3,0,5,0,67,31,191,0.188,61,2,12,75,5,3,14,2,79,1,0,5,0,53,27,163,0.16,50,5,8,75,2,2,18,3,69,2
721,2018-10-25,Air Force,UNLV,Away,L,0,3,0,3,0,31,14,85,0.2,29,1,16,29,8,0,10,0,37,1,0,3,0,36,13,81,0.284,28,8,5,36,1,1,6,0,48,1
721,2018-10-27,Air Force,New Mexico,Away,L,1,3,0,4,0,58,28,139,0.216,55,7,14,59,1,1,14,2,73,3,0,4,0,48,16,131,0.244,40,1,4,42,7,1,28,4,64,2
721,2018-11-01,Air Force,Colorado St.,Home,L,0,3,0,3,0,39,16,106,0.217,39,1,9,40,5,1,10,0,46,2,0,3,0,47,16,107,0.29,46,5,6,42,1,0,14,0,59,NA
721,2018-11-03,Air Force,Wyoming,Home,L,2,3,0,5,0,67,26,169,0.243,66,6,9,59,2,1,14,1,81,2,0,5,0,68,22,162,0.284,62,2,5,62,6,1,16,2,79,2
721,2018-11-08,Air Force,Nevada,Away,W,3,2,0,5,0,53,24,172,0.169,52,8,10,70,5,1,24,2,74,2,0,5,0,63,34,184,0.158,60,5,12,86,8,1,16,1,77,NA
721,2018-11-10,Air Force,San Jose St.,Away,L,0,3,0,3,0,36,12,109,0.22,36,3,9,49,5,1,12,2,46,2,0,3,0,45,11,109,0.312,42,5,8,53,3,0,8,0,54,2
721,2018-11-15,Air Force,Boise St.,Home,W,3,2,0,5,0,63,34,171,0.17,58,9,12,55,5,1,16,1,81,NA,0,5,0,48,23,136,0.184,44,5,8,54,9,0,39,2,72.5,NA
721,2018-11-17,Air Force,Utah St.,Home,W,3,0,0,3,0,41,19,92,0.239,39,9,4,43,0,1,14,1,58,NA,0,3,0,19,21,93,-0.022,19,0,3,28,9,0,12,0,25,1
721,2018-11-19,Air Force,Fresno St.,Away,W,3,0,0,3,0,41,10,109,0.284,37,6,10,52,4,0,12,3,53,1,0,3,0,36,18,107,0.168,35,4,5,48,6,0,6,1,43,1
5,2018-08-24,Akron,Cal St. Fullerton,Away,W,3,2,0,5,0,62,21,172,0.238,57,8,8,84,7,1,8,0,75,1,0,5,0,57,16,171,0.24,54,7,9,79,8,2,14,3,73,1
5,2018-08-25,Akron,"Montana Fullerton, Calif.",Away,W,3,2,0,5,0,72,33,178,0.219,66,8,9,78,8,1,12,0,87,2,0,5,0,51,18,158,0.209,49,8,6,62,8,3,20,4,72,2
5,2018-08-25,Akron,Eastern Wash. ,Away,L,1,3,0,4,0,51,22,130,0.223,50,4,9,57,6,2,4,0,59,2,0,4,0,46,17,125,0.232,43,6,5,52,4,1,18,3,62,2
5,2018-08-31,Akron,Maryland,Home,L,0,3,0,3,0,38,17,109,0.193,37,5,4,42,7,3,2,1,47,4,0,3,0,42,13,103,0.282,40,7,8,42,5,2,10,1,56,2
5,2018-09-01,Akron,Canisius,Home,W,3,0,0,3,0,40,17,122,0.189,38,10,6,45,2,2,8,1,56,NA,0,3,0,40,12,110,0.255,34,2,8,50,10,1,8,0,47,2
5,2018-09-01,Akron,Stony Brook,Home,W,3,0,0,3,0,47,20,132,0.205,43,3,4,53,3,1,14,3,58,3,0,3,0,36,19,126,0.135,34,3,5,44,3,3,12,0,48,2
5,2018-09-07,Akron,"Ga. Southern Winston-Salem, N.C.",Away,W,3,2,0,5,0,64,28,168,0.214,63,10,11,57,7,0,12,2,80,2,0,5,0,55,27,154,0.182,52,7,3,62,10,3,22,4,76,1
5,2018-09-08,Akron,"Elon Winston-Salem, N.C.",Away,W,3,1,0,4,0,56,17,149,0.262,47,14,9,49,7,0,6,1,73,1,0,4,0,47,15,128,0.25,39,7,4,53,14,1,10,1,60,2
5,2018-09-08,Akron,Wake Forest,Away,L,0,3,0,3,0,30,26,93,0.043,28,4,8,25,0,1,8,0,39,2,0,3,0,39,13,82,0.317,34,0,8,26,4,1,24,1,52,1
5,2018-09-14,Akron,Youngstown St.,Home,W,3,1,0,4,0,55,13,154,0.273,53,10,11,73,3,1,8,1,70,2,0,4,0,46,24,152,0.145,40,3,7,66,10,0,6,1,52,1
5,2018-09-15,Akron,Bucknell,Home,W,3,0,0,3,0,43,11,99,0.323,39,4,8,35,6,0,8,0,51,2,0,3,0,24,17,83,0.084,23,6,6,35,4,0,8,0,34,3
5,2018-09-21,Akron,Miami (OH),Home,L,0,3,0,3,0,27,18,93,0.097,24,3,5,38,14,1,2,0,32,2,0,3,0,34,16,96,0.188,31,14,5,41,3,1,16,1,57,NA
5,2018-09-22,Akron,Bowling Green,Home,L,2,3,0,5,0,52,24,155,0.181,51,5,9,58,7,4,16,0,69,4,0,5,0,58,29,161,0.18,52,8,7,63,5,5,6,0,74,2
5,2018-09-28,Akron,Kent St.,Away,L,2,3,0,5,0,60,26,199,0.171,59,4,10,98,6,0,8,3,68,2,0,5,0,69,30,217,0.18,66,6,15,103,4,5,6,1,83,3
5,2018-09-29,Akron,Ohio,Away,L,0,3,0,3,0,36,19,102,0.167,34,1,12,56,8,1,6,0,41,2,0,3,0,33,6,100,0.27,31,8,12,43,1,2,20,0,53,2
5,2018-10-04,Akron,Buffalo,Home,W,3,0,0,3,0,43,10,105,0.314,36,8,9,43,5,0,8,0,55,3,0,3,0,35,17,100,0.18,30,5,8,46,8,1,10,1,46,1
5,2018-10-06,Akron,Toledo,Home,W,3,2,0,5,0,63,22,185,0.222,55,7,14,68,4,0,22,0,81,2,0,5,0,55,23,174,0.184,51,4,4,74,7,0,14,3,66,5
5,2018-10-12,Akron,NIU,Away,L,0,3,0,3,0,46,16,121,0.248,42,3,13,46,2,0,10,2,54,NA,0,3,0,44,14,108,0.278,41,2,5,46,3,1,16,4,55,NA
5,2018-10-13,Akron,Western Mich.,Away,L,0,3,0,3,0,39,15,107,0.224,35,3,9,35,3,0,8,0,46,1,0,3,0,47,14,104,0.317,44,3,5,47,3,1,10,1,56,1
5,2018-10-19,Akron,Central Mich.,Home,W,3,2,0,5,0,73,32,193,0.212,65,7,6,72,4,1,16,1,89,1,0,5,0,59,23,177,0.203,54,4,2,75,7,3,26,3,79,1
5,2018-10-20,Akron,Eastern Mich.,Home,L,0,3,0,3,0,29,19,106,0.094,27,2,3,37,7,1,4,0,34,NA,0,3,0,45,10,99,0.354,42,7,5,48,2,3,12,0,61,2
5,2018-10-26,Akron,Bowling Green,Away,L,0,3,0,3,0,24,23,107,0.009,22,2,7,43,8,0,16,1,34,NA,0,3,0,36,16,101,0.198,35,8,10,49,2,2,8,0,50,NA
5,2018-10-27,Akron,Miami (OH),Away,L,0,3,0,3,0,25,12,94,0.138,23,2,7,37,6,0,10,2,32,2,0,3,0,47,15,112,0.286,42,6,7,54,2,2,8,0,59,3
5,2018-11-02,Akron,Ohio,Home,L,1,3,0,4,0,46,18,135,0.207,43,3,6,49,7,2,8,3,55,NA,0,4,0,57,18,135,0.289,52,7,11,58,3,2,8,4,70,NA
5,2018-11-03,Akron,Kent St.,Home,L,2,3,0,5,0,66,26,176,0.227,64,5,11,74,2,1,14,0,79,1,0,5,0,58,15,157,0.274,52,2,9,71,5,5,10,2,70,1
5,2018-11-08,Akron,Buffalo,Away,L,0,3,0,3,0,38,15,108,0.213,37,3,1,45,4,0,4,3,43,NA,0,3,0,54,15,120,0.325,50,4,4,47,3,1,10,0,64,NA
5,2018-11-10,Akron,Ball St.,Away,L,2,3,0,5,0,55,29,158,0.165,53,7,9,52,7,0,24,1,74,NA,0,5,0,58,28,147,0.204,55,7,7,57,7,6,20,0,81,NA
8,2018-08-24,Alabama,"Western Ky. Charleston, S.C.",Away,W,3,0,0,3,0,51,21,131,0.229,51,1,7,63,1,1,22,2,64,3,0,3,0,36,16,120,0.167,34,1,6,51,1,2,12,4,45,2
8,2018-08-25,Alabama,Col. of Charleston,Away,W,3,0,0,3,0,48,8,113,0.354,47,6,6,49,2,0,18,2,63,2,0,3,0,39,17,117,0.188,38,2,3,54,6,0,6,0,44,NA
8,2018-08-25,Alabama,"Missouri St. Charleston, S.C.",Away,W,3,1,0,4,0,56,19,147,0.252,54,6,3,70,2,4,22,0,77,3,0,4,0,40,28,147,0.082,38,2,2,66,6,0,12,2,48,4
8,2018-08-31,Alabama,Navy,Away,W,3,1,0,4,0,55,23,146,0.219,51,9,12,63,4,2,18,6,75,2,0,4,0,51,23,147,0.19,47,4,14,54,9,4,18,0,68,NA
8,2018-09-01,Alabama,"Villanova Annapolis, Md.",Away,W,3,2,0,5,0,70,25,173,0.26,68,8,11,81,5,3,10,5,86,5,0,5,0,57,19,172,0.221,56,5,11,67,8,4,14,2,73,2
8,2018-09-01,Alabama,"Dartmouth Annapolis, Md.",Away,W,3,0,0,3,0,36,10,90,0.289,36,8,8,39,1,1,22,0,56,3,0,3,0,29,20,93,0.097,28,1,8,39,8,0,10,3,35,1
8,2018-09-07,Alabama,Georgia Tech,Home,W,3,0,0,3,0,40,12,94,0.298,37,8,10,40,4,3,8,0,55,NA,0,3,0,26,19,91,0.077,23,4,7,36,8,2,6,0,35,1
8,2018-09-07,Alabama,Marshall,Home,W,3,1,0,4,0,58,20,127,0.299,54,5,7,53,5,1,16,0,72,NA,0,4,0,46,26,134,0.149,43,5,8,45,5,4,4,0,57,NA
8,2018-09-08,Alabama,NIU,Home,W,3,0,0,3,0,42,13,98,0.296,39,4,7,48,3,3,8,0,53,NA,0,3,0,28,20,98,0.082,25,3,6,37,4,2,10,1,38,1
