ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,attend.x,s,mp,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,r_err,block_solos,block_assists,b_err,pts.x,bhe.x,attend.y,defensive_s,defensive_mp,defensive_kills,defensive_errors,defensive_total_attacks,defensive_hit_pct,defensive_assists,defensive_aces,defensive_s_err,defensive_digs,defensive_r_err,defensive_block_solos,defensive_block_assists,defensive_b_err,pts.y,bhe.y
26172,2018-08-24,A&M-Corpus Christi,South Carolina,Away,L,0,3,0,3,0,27,16,69,0.159,24,4,9,31,6,3,4,0,36,1,0,3,0,41,14,88,0.307,31,6,7,24,4,5,8,2,56,4
26172,2018-08-24,A&M-Corpus Christi,"Clemson Columbia, S.C.",Away,L,0,3,0,3,0,25,22,93,0.032,25,2,9,29,4,1,4,2,30,1,0,3,0,37,13,84,0.286,33,4,2,39,2,3,16,1,52,1
26172,2018-08-25,A&M-Corpus Christi,"ETSU Columbia, S.C.",Away,L,0,3,0,3,0,41,16,111,0.225,38,5,6,37,4,0,4,2,48,NA,0,3,0,46,7,94,0.415,44,4,7,43,5,0,6,1,53,1
26172,2018-08-28,A&M-Corpus Christi,UTRGV,Home,L,2,3,0,5,0,54,29,175,0.143,52,4,8,73,2,0,8,0,62,1,0,5,0,70,9,158,0.386,67,2,9,82,4,4,8,1,80,6
26172,2018-08-31,A&M-Corpus Christi,LSU,Away,L,0,3,0,3,0,26,15,103,0.107,24,2,7,28,6,1,2,0,30,NA,0,3,0,45,10,89,0.393,38,6,4,48,2,1,6,0,55,NA
26172,2018-08-31,A&M-Corpus Christi,"South Fla. Baton Rouge, La.",Away,L,2,3,0,5,0,59,26,202,0.163,54,4,6,88,7,2,6,0,68,1,0,5,0,63,25,194,0.196,54,7,4,102,4,3,12,2,79,2
26172,2018-09-01,A&M-Corpus Christi,"Duke Baton Rouge, La.",Away,L,2,3,0,5,0,54,24,162,0.185,47,2,8,67,8,0,10,0,61,2,0,5,0,67,24,169,0.254,61,8,12,69,2,3,14,0,85,2
26172,2018-09-07,A&M-Corpus Christi,Texas Southern,Home,W,3,0,0,3,0,49,14,102,0.343,46,4,7,51,3,1,2,0,55,1,0,3,0,30,9,97,0.216,26,3,9,28,4,1,10,1,39,NA
26172,2018-09-07,A&M-Corpus Christi,Miami (FL),Home,L,0,3,0,3,0,46,19,122,0.221,45,3,9,52,5,0,2,0,50,NA,0,3,0,40,8,103,0.311,37,5,4,47,3,4,10,0,54,NA
26172,2018-09-11,A&M-Corpus Christi,UTRGV,Away,L,0,3,0,3,0,32,18,124,0.113,32,2,4,61,5,0,4,0,36,3,0,3,0,45,10,120,0.292,42,5,8,63,2,1,10,0,56,3
26172,2018-09-14,A&M-Corpus Christi,Missouri,Away,L,0,3,0,3,0,32,17,102,0.147,27,3,6,42,5,0,8,0,39,NA,0,3,0,46,13,101,0.327,40,5,7,43,3,3,8,0,58,NA
26172,2018-09-14,A&M-Corpus Christi,Drake ,Away,L,0,3,0,3,0,35,16,113,0.168,31,2,8,49,5,0,4,0,39,NA,0,3,0,45,13,116,0.276,42,5,8,53,2,3,8,0,57,1
26172,2018-09-15,A&M-Corpus Christi,Ohio ,Away,L,0,3,0,3,0,39,20,98,0.194,35,2,6,45,12,1,2,0,43,1,0,3,0,34,11,97,0.237,31,12,9,33,2,2,10,0,53,NA
