ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,pts,bhe,defensive_kills,defensive_errors,defensive_total_attacks,defensive_hit_pct,defensive_assists,defensive_aces,defensive_s_err,defensive_digs,defensive_ret_att,defensive_r_err,defensive_block_solos,defensive_block_assists,defensive_b_err,defensive_pts,defensive_bhe
26172,2023-11-09,A&M-Corpus Christi,Northwestern St.,Home,W,3,0,3,51,18,120,0.275,47,2,5,61,50,1,2,10,0,60,2,26,15,113,0.097,25,1,5,40,68,2,2,10,0,34,NA
26172,2023-11-11,A&M-Corpus Christi,Tex. A&M-Commerce,Home,W,3,0,3,49,19,116,0.259,46,5,2,46,56,2,3,6,1,60,3,33,14,97,0.196,30,2,6,39,71,5,2,6,5,40,1
26172,2023-11-18,A&M-Corpus Christi,McNeese,Home,W,3,0,3,48,11,124,0.298,43,4,7,60,58,5,4,10,1,61,1,37,16,128,0.164,33,5,5,49,66,4,3,4,1,47,2
26172,2023-11-19,A&M-Corpus Christi,Southeastern La.,Home,L,0,3,3,38,13,112,0.223,35,4,4,50,69,2,3,2,6,46,2,50,9,114,0.36,44,2,5,51,53,4,2,10,1,59,NA
2,2023-08-26,Abilene Christian,Houston Christian ,Away,W,3,1,4,62,23,172,0.227,59,6,14,77,80,1,2,16,2,78,1,39,30,159,0.057,36,1,1,81,84,6,0,10,3,45,NA
2,2023-08-27,Abilene Christian,Texas Tech,Away,L,1,3,4,48,22,150,0.173,44,9,16,59,88,5,1,10,1,63,NA,53,18,135,0.259,49,5,8,74,68,9,2,10,2,65,NA
2,2023-08-29,Abilene Christian,Tex. A&M-Commerce,Home,L,2,3,5,66,28,179,0.212,61,13,14,60,99,7,4,6,0,86,6,44,20,135,0.178,41,7,6,63,94,13,1,11,0,57.5,NA
2,2023-09-01,Abilene Christian,Providence,Home,W,3,2,5,63,35,167,0.168,59,6,10,71,94,7,3,2,0,73,3,45,23,149,0.148,38,7,10,51,94,6,7,16,2,67,2
2,2023-09-01,Abilene Christian,North Dakota,Home,W,3,0,3,34,18,94,0.17,30,3,4,41,49,1,3,10,2,45,4,25,24,93,0.011,24,1,6,34,69,3,0,10,1,31,5
2,2023-09-02,Abilene Christian,Grambling,Home,W,3,0,3,44,14,109,0.275,39,11,7,45,58,5,0,8,5,59,NA,35,12,96,0.24,33,5,8,42,66,11,0,4,1,42,NA
2,2023-09-05,Abilene Christian,Texas Tech,Home,W,3,1,4,50,23,150,0.18,43,8,11,69,73,4,4,8,2,66,2,40,28,143,0.084,31,4,9,59,83,8,5,12,0,55,NA
2,2023-09-08,Abilene Christian,Southeastern La. ,Away,L,0,3,3,38,18,107,0.187,34,5,7,31,74,3,2,2,0,46,NA,47,17,107,0.28,44,3,2,44,59,5,4,0,1,54,NA
2,2023-09-09,Abilene Christian,California ,Away,L,0,3,3,21,19,88,0.023,17,3,11,29,67,8,1,4,0,27,NA,35,11,78,0.308,32,8,7,45,37,3,0,18,2,52,1
2,2023-09-09,Abilene Christian,Texas St.,Away,L,1,3,4,52,21,163,0.19,40,7,7,64,96,11,2,4,1,63,1,61,16,151,0.298,56,11,6,72,77,7,3,18,0,84,1
2,2023-09-15,Abilene Christian,Lipscomb ,Away,L,1,3,4,28,18,90,0.111,27,3,9,45,82,19,1,14,1,39,NA,49,19,117,0.256,42,19,14,39,58,3,1,16,1,77,2
2,2023-09-16,Abilene Christian,Mississippi St.,Away,L,1,3,4,40,31,148,0.061,35,5,7,61,81,8,3,10,1,53,NA,48,17,139,0.223,45,8,14,62,72,5,5,18,2,70,NA
2,2023-09-21,Abilene Christian,Seattle U,Home,W,3,0,3,52,19,112,0.295,50,4,9,54,59,3,2,2,2,59,NA,29,14,107,0.14,28,3,5,35,65,4,5,4,1,39,NA
2,2023-09-23,Abilene Christian,Utah Valley,Home,L,2,3,5,63,38,185,0.135,63,12,9,79,106,7,2,6,0,80,1,58,21,172,0.215,54,7,9,69,98,12,6,18,1,80,1
