ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,tb,pts,bhe.x,defensive_kills,defensive_errors,defensive_total_attacks,defensive_hit_pct,defensive_assists,defensive_aces,defensive_s_err,defensive_digs,defensive_ret_att,defensive_r_err,defensive_block_solos,defensive_block_assists,defensive_b_err,defensive_tb,defensive_pts,bhe.y
26172,2022-11-01,A&M-Corpus Christi,UIW,Away,W,3,0,3,55,9,97,0.474,54,4,9,35,51,2,2,8,0,6,65,NA,31,12,83,0.229,30,2,3,27,65,4,0,6,0,3,36,1
26172,2022-11-03,A&M-Corpus Christi,McNeese,Home,W,3,2,5,70,25,182,0.247,68,10,19,70,103,5,2,8,1,6,86,2,53,17,149,0.242,45,5,6,76,86,10,4,18,1,13,71,1
26172,2022-11-05,A&M-Corpus Christi,Houston Christian,Away,L,1,3,4,60,20,173,0.231,58,5,10,74,97,5,2,8,0,6,71,NA,57,23,183,0.186,52,5,6,69,92,5,3,12,0,9,71,NA
26172,2022-11-10,A&M-Corpus Christi,Lamar University,Away,W,3,1,4,63,19,147,0.299,58,10,13,59,88,12,3,2,1,4,77,2,49,20,131,0.221,45,12,8,53,92,10,4,8,5,8,69,3
26172,2022-11-12,A&M-Corpus Christi,Nicholls,Away,W,3,1,4,78,23,158,0.348,67,6,8,65,86,4,3,4,0,5,89,NA,53,14,138,0.283,51,4,3,53,92,6,5,10,0,10,67,NA
26172,2022-11-18,A&M-Corpus Christi,Northwestern St. ,Away,L,2,3,5,70,30,193,0.207,55,8,11,89,101,3,3,8,1,7,85,3,60,18,173,0.243,54,3,9,78,95,8,2,16,1,10,73,1
2,2022-08-26,Abilene Christian,Cal St. Fullerton ,Away,L,0,3,3,38,23,134,0.112,38,1,6,65,71,2,0,6,0,3,42,NA,45,17,134,0.209,41,2,5,67,57,1,2,6,0,5,52,1
2,2022-08-27,Abilene Christian,New Mexico,Away,L,1,3,4,46,22,166,0.145,43,3,8,89,86,8,0,8,0,4,53,2,55,21,181,0.188,52,8,8,86,72,3,1,8,2,5,68,NA
2,2022-09-02,Abilene Christian,Missouri,Away,L,1,3,4,37,20,122,0.139,35,4,7,38,88,6,2,6,1,5,46,NA,61,14,117,0.402,55,6,8,59,60,4,1,16,2,9,76,3
2,2022-09-02,Abilene Christian,Northwestern St. ,Away,W,3,1,4,50,25,110,0.227,44,10,6,45,72,7,0,4,0,2,62,2,38,16,104,0.212,32,7,8,30,82,10,0,16,0,8,53,1
2,2022-09-03,Abilene Christian,Missouri St. ,Away,W,3,0,3,40,12,102,0.275,36,7,4,54,57,9,0,18,0,9,56,NA,35,18,110,0.155,33,9,7,46,69,7,1,8,0,5,49,1
2,2022-09-09,Abilene Christian,Oral Roberts,Away,W,3,1,4,47,18,129,0.225,44,11,4,64,73,10,0,12,3,6,64,2,43,24,142,0.134,40,10,6,58,84,11,1,16,2,9,62,1
