ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,pts,bhe,defensive_kills,defensive_errors,defensive_total_attacks,defensive_hit_pct,defensive_assists,defensive_aces,defensive_s_err,defensive_digs,defensive_ret_att,defensive_r_err,defensive_block_solos,defensive_block_assists,defensive_b_err,defensive_pts
2,2025-09-05,Abilene Christian,Sam Houston ,Away,L,2,3,5,73,22,174,0.293,67,8,10,68,103,2,3,8,1,88,NA,78,13,174,0.374,72,2,10,65,94,8,3,8,3,87
2,2025-09-05,Abilene Christian,SFA,Away,L,2,3,5,54,32,173,0.127,50,4,8,65,102,8,3,12,1,67,NA,61,27,159,0.214,57,8,8,73,86,4,1,28,1,84
2,2025-09-06,Abilene Christian,Louisiana ,Away,L,1,3,4,49,33,126,0.127,43,9,8,43,86,3,0,10,2,63,NA,50,15,111,0.315,46,3,7,36,74,9,3,24,1,68
2,2025-09-12,Abilene Christian,Alabama A&M ,Away,L,1,3,4,46,35,127,0.087,45,6,9,41,89,6,1,8,0,57,NA,45,19,109,0.239,41,6,8,35,73,6,3,19,0,63.5
2,2025-09-12,Abilene Christian,Grambling ,Away,W,3,0,3,41,14,92,0.293,36,11,11,35,45,3,2,6,0,57,NA,24,14,80,0.125,23,3,8,32,63,11,1,10,0,33
2,2025-09-13,Abilene Christian,Ark.-Pine Bluff ,Away,W,3,0,3,45,8,74,0.5,42,12,11,23,41,1,0,14,4,64,NA,22,15,64,0.109,21,1,3,19,62,12,2,0,3,25
2,2025-09-15,Abilene Christian,Tulsa,Home,L,0,3,3,39,19,110,0.182,36,4,8,47,69,6,1,2,0,45,1,45,15,117,0.256,40,6,10,47,63,4,3,4,0,56
2,2025-09-19,Abilene Christian,Texas Southern ,Away,W,3,0,3,45,20,99,0.253,41,10,8,34,57,2,0,2,1,56,NA,31,15,86,0.186,30,2,6,21,66,10,4,6,4,40
2,2025-09-19,Abilene Christian,Cal St. Fullerton ,Away,W,3,0,3,49,27,128,0.172,44,5,9,55,64,6,4,4,0,60,NA,26,17,106,0.085,24,6,6,46,66,5,4,13,0,42.5
2,2025-09-20,Abilene Christian,Lamar University,Away,L,0,3,3,39,23,130,0.123,36,4,7,59,66,7,1,8,2,48,NA,37,11,114,0.228,37,7,8,58,57,4,2,12,1,52
2,2025-09-22,Abilene Christian,East Texas A&M,Away,L,2,3,5,74,29,211,0.213,72,3,7,95,97,7,3,18,6,89,NA,63,28,198,0.177,59,7,9,88,107,3,3,10,5,78
2,2025-09-25,Abilene Christian,Utah Valley ,Away,L,0,3,3,36,28,124,0.065,31,5,6,40,72,8,0,14,0,48,NA,31,14,101,0.168,26,8,4,33,57,5,2,34,0,58
2,2025-09-27,Abilene Christian,California Baptist,Away,L,1,3,4,58,29,134,0.216,48,6,12,48,91,9,4,4,2,70,NA,42,14,119,0.235,38,9,3,33,71,6,3,18,3,63
2,2025-10-09,Abilene Christian,Southern Utah,Home,W,3,2,5,53,27,141,0.184,46,9,8,51,76,10,2,4,1,66,NA,43,22,139,0.151,39,10,15,44,97,9,2,16,4,63
2,2025-10-11,Abilene Christian,Utah Tech,Home,L,0,3,3,34,20,121,0.116,30,0,7,60,67,4,2,4,1,38,NA,35,20,119,0.126,26,4,6,53,57,0,3,8,1,46
721,2025-08-30,Air Force,Portland St.,Home,W,3,1,4,62,26,152,0.237,58,7,11,62,79,6,1,12,2,76,NA,42,22,142,0.141,38,6,7,53,86,7,5,16,3,61
721,2025-08-31,Air Force,Seattle U,Home,W,3,0,3,43,6,83,0.446,40,8,9,40,41,1,1,10,0,57,NA,22,22,89,0,21,1,1,27,64,8,1,4,0,26
721,2025-09-06,Air Force,Wake Forest ,Away,W,3,0,3,43,21,117,0.188,41,8,10,44,58,3,1,16,0,60,NA,24,18,102,0.059,23,3,3,36,63,8,1,24,3,40
721,2025-09-07,Air Force,George Mason ,Away,W,3,2,5,57,22,160,0.219,57,6,11,72,81,7,1,24,2,76,NA,52,27,172,0.145,51,7,12,70,93,6,1,22,0,71
721,2025-09-11,Air Force,Seattle U ,Away,W,3,1,4,53,16,127,0.291,46,4,14,52,73,9,1,16,1,66,NA,40,29,128,0.086,33,9,10,47,83,4,1,6,1,53
721,2025-09-12,Air Force,SIUE,Away,L,2,3,5,60,29,187,0.166,52,9,11,74,100,8,5,10,1,79,NA,59,27,174,0.184,55,8,7,81,93,9,7,18,0,83
721,2025-09-13,Air Force,Austin Peay ,Away,W,3,0,3,33,14,100,0.19,32,8,14,54,52,3,3,6,0,47,NA,29,21,114,0.07,24,3,11,47,59,8,4,6,2,39
721,2025-09-18,Air Force,Denver,Home,L,0,3,3,38,23,109,0.138,35,7,7,38,66,3,1,8,2,50,NA,42,13,104,0.279,39,3,7,40,61,7,0,20,2,55
721,2025-09-19,Air Force,Northern Colo.,Home,L,2,3,5,61,31,176,0.17,58,4,12,64,98,8,4,16,2,77,NA,55,23,157,0.204,52,8,9,64,87,4,2,22,5,76
721,2025-09-20,Air Force,Utah Tech,Home,L,1,3,4,50,29,164,0.128,49,4,6,61,92,5,3,10,1,62,NA,57,23,162,0.21,55,5,4,71,76,4,2,22,0,75
721,2025-09-25,Air Force,Nevada,Home,W,3,0,3,45,17,112,0.25,42,4,9,48,61,5,3,10,2,57,NA,37,18,111,0.171,36,5,9,41,66,4,2,14,2,51
721,2025-09-27,Air Force,Wyoming,Away,L,0,3,3,37,27,113,0.088,31,1,8,42,66,3,1,6,3,42,NA,37,9,92,0.304,35,3,7,42,48,1,8,18,0,57
721,2025-10-02,Air Force,San Diego St.,Home,L,1,3,4,48,27,159,0.132,42,2,7,57,94,7,3,26,3,66,NA,56,28,157,0.178,49,7,3,68,77,2,0,28,1,77
721,2025-10-04,Air Force,UNLV,Home,W,3,1,4,58,21,145,0.255,54,7,14,60,79,5,1,20,0,76,NA,42,25,137,0.124,39,5,5,57,80,7,1,16,1,56
721,2025-10-09,Air Force,Fresno St.,Away,W,3,1,4,64,18,174,0.264,59,10,11,83,84,2,2,6,5,79,NA,55,19,164,0.22,49,2,3,85,84,10,4,14,0,68
721,2025-10-11,Air Force,San Jose St.,Away,L,0,3,3,40,22,132,0.136,36,3,8,55,72,3,2,8,2,49,NA,42,17,126,0.198,40,3,2,56,55,3,5,14,0,57
5,2025-08-29,Akron,Green Bay ,Away,W,3,2,5,61,23,165,0.23,54,4,9,72,88,9,3,10,0,73,NA,53,29,165,0.145,46,9,12,64,98,4,3,6,0,68
5,2025-08-30,Akron,Army West Point ,Away,L,0,3,3,35,11,114,0.211,34,5,9,46,74,7,3,12,0,49,NA,51,24,131,0.206,48,7,5,58,62,5,0,8,0,62
5,2025-09-03,Akron,Cleveland St.,Away,W,3,1,4,57,26,140,0.221,55,6,9,69,69,5,2,10,2,70,NA,36,20,136,0.118,35,5,11,46,88,6,2,12,4,49
5,2025-09-05,Akron,ETSU,Home,W,3,1,4,55,24,139,0.223,51,12,11,53,76,6,2,18,0,78,NA,40,21,125,0.152,40,5,7,49,86,12,2,18,0,56
5,2025-09-06,Akron,American,Home,W,3,2,5,60,32,159,0.176,56,12,12,50,94,11,0,14,0,79,NA,49,17,125,0.256,45,11,11,50,88,12,1,24,0,73
5,2025-09-13,Akron,Northern Ky. ,Away,L,0,3,3,34,22,106,0.113,29,4,7,38,63,9,0,8,2,42,NA,37,10,91,0.297,36,9,11,37,53,4,3,16,1,57
5,2025-09-13,Akron,UTRGV ,Away,L,0,3,3,33,27,105,0.057,30,2,7,39,70,10,0,8,1,39,NA,31,11,89,0.225,29,10,5,37,46,2,0,12,1,47
5,2025-09-18,Akron,Youngstown St.,Away,W,3,1,4,67,20,141,0.333,62,6,7,50,71,5,2,12,2,81,NA,43,18,126,0.198,40,5,6,46,90,6,1,4,1,51
5,2025-09-25,Akron,Miami (OH),Home,L,2,3,5,69,20,163,0.301,64,3,14,67,103,6,0,14,0,79,NA,68,15,166,0.319,55,6,8,60,82,3,1,26,0,88
5,2025-09-26,Akron,Ball St.,Home,L,1,3,4,56,20,153,0.235,52,3,7,60,94,9,2,20,0,71,NA,60,22,165,0.23,56,9,4,59,79,3,3,12,0,78
5,2025-10-03,Akron,Ohio,Away,W,3,1,4,65,15,159,0.314,60,4,8,59,87,4,0,14,0,76,NA,71,26,179,0.251,61,4,13,65,99,4,1,6,0,79
5,2025-10-04,Akron,Kent St.,Away,L,1,3,4,45,30,150,0.1,41,9,7,51,88,5,1,20,4,65,NA,53,21,132,0.242,48,5,8,62,79,9,3,20,1,71
5,2025-10-07,Akron,Buffalo,Home,L,2,3,5,71,29,181,0.232,65,6,14,65,101,11,1,18,0,87,NA,55,19,151,0.238,48,11,9,66,92,6,3,14,0,76
5,2025-10-09,Akron,Western Mich.,Away,L,1,3,4,58,26,177,0.181,56,6,9,69,92,6,5,14,2,76,NA,55,19,150,0.24,50,6,5,73,81,6,7,12,0,74
5,2025-10-10,Akron,Western Mich.,Away,W,3,2,5,66,26,198,0.202,62,10,10,99,99,11,4,16,1,88,NA,58,28,203,0.148,52,11,9,91,102,10,2,20,2,81
8,2025-08-29,Alabama,UNC Asheville,Home,W,3,0,3,43,23,112,0.179,43,10,11,49,58,7,0,6,1,56,NA,22,14,94,0.085,21,7,8,35,63,10,2,6,5,34
8,2025-08-29,Alabama,Jacksonville,Home,W,3,1,4,59,22,119,0.311,57,11,10,47,78,6,0,11,4,75.5,NA,45,18,122,0.221,41,6,8,33,84,11,1,18,2,61
8,2025-08-30,Alabama,UAB,Home,W,3,0,3,42,8,83,0.41,39,9,10,36,41,6,1,11,0,57.5,NA,20,18,75,0.027,18,6,6,26,63,9,0,4,1,28
8,2025-09-05,Alabama,Chattanooga,Away,W,3,0,3,42,14,105,0.267,36,13,4,55,45,4,5,9,0,64.5,NA,23,17,102,0.059,19,4,3,40,70,13,2,2,0,30
8,2025-09-06,Alabama,Cincinnati ,Away,L,0,3,3,45,26,136,0.14,40,5,7,57,70,2,3,8,0,57,NA,44,13,121,0.256,40,2,9,59,66,5,5,16,1,59
8,2025-09-13,Alabama,Western Caro. ,Away,W,3,0,3,43,17,103,0.252,42,7,4,46,51,4,0,14,0,57,NA,28,18,105,0.095,27,4,5,37,69,7,1,10,1,38
8,2025-09-14,Alabama,North Ala.,Away,W,3,1,4,57,25,138,0.232,53,2,9,62,77,6,1,16,0,68,NA,46,22,142,0.169,44,6,10,52,82,2,1,14,0,60
8,2025-09-18,Alabama,Memphis,Home,W,3,1,4,48,24,114,0.211,41,13,11,30,68,4,6,16,4,75,NA,37,29,104,0.077,34,4,10,34,88,13,3,8,0,48
8,2025-09-20,Alabama,UCF,Home,L,1,3,4,43,26,126,0.135,43,4,13,50,85,7,1,8,1,52,NA,49,16,125,0.264,48,7,12,53,64,4,1,20,0,67
8,2025-09-26,Alabama,Auburn,Away,L,0,3,3,38,26,117,0.103,38,1,12,49,65,2,0,10,2,44,NA,35,10,105,0.238,33,2,9,44,48,1,1,20,0,48
8,2025-09-28,Alabama,Florida,Away,L,1,3,4,39,20,140,0.136,38,9,4,54,86,5,0,16,1,56,NA,68,23,153,0.294,63,5,11,72,80,9,1,16,3,82
8,2025-10-03,Alabama,Mississippi St.,Away,L,1,3,4,50,19,134,0.231,45,7,13,60,88,6,3,6,0,63,NA,57,16,142,0.289,51,6,9,58,71,7,3,4,0,68
8,2025-10-10,Alabama,LSU,Home,W,3,0,3,42,12,97,0.309,35,6,12,41,48,5,2,12,0,56,NA,21,19,87,0.023,21,5,6,35,61,6,0,6,1,29
8,2025-10-12,Alabama,Texas,Home,L,1,3,4,40,20,135,0.148,40,5,11,58,77,5,1,10,7,51,NA,59,20,149,0.262,55,5,17,61,72,5,0,16,0,72
6,2025-08-29,Alabama A&M,South Carolina St.,Home,W,3,1,4,55,17,126,0.302,53,12,8,56,61,3,1,4,2,70,NA,36,22,117,0.12,35,3,10,42,93,12,2,6,4,44
6,2025-08-29,Alabama A&M,Morgan St.,Home,W,3,0,3,45,12,89,0.371,40,5,2,32,50,3,1,8,0,55,NA,39,18,89,0.236,33,3,7,26,72,5,0,14,0,49
6,2025-08-30,Alabama A&M,Delaware St.,Home,L,0,3,3,24,22,98,0.02,22,7,9,37,65,3,5,2,3,37,NA,40,15,97,0.258,39,3,9,47,52,7,5,8,1,52
6,2025-09-02,Alabama A&M,North Ala.,Home,W,3,1,4,57,16,144,0.285,53,7,6,62,75,3,3,8,2,71,NA,56,18,146,0.26,56,3,7,62,86,7,3,4,1,64
6,2025-09-06,Alabama A&M,Miles,Home,W,3,0,3,54,15,102,0.382,49,4,2,45,50,2,4,2,0,63,NA,30,14,98,0.163,27,2,3,32,71,4,3,2,1,36
6,2025-09-09,Alabama A&M,West Ga.,Home,W,3,1,4,56,17,132,0.295,55,7,3,54,78,6,4,10,1,72,NA,54,29,146,0.171,51,6,4,54,93,7,3,4,1,65
6,2025-09-11,Alabama A&M,Nicholls,Away,L,0,3,3,35,26,123,0.073,32,10,3,47,73,2,1,12,0,52,NA,47,21,123,0.211,44,2,4,54,69,10,2,16,0,59
6,2025-09-12,Alabama A&M,Abilene Christian ,Away,W,3,1,4,45,19,109,0.239,41,6,8,35,73,6,3,19,0,63.5,NA,46,35,127,0.087,45,6,9,41,89,6,1,8,0,57
6,2025-09-17,Alabama A&M,Tennessee St.,Away,W,3,0,3,30,17,94,0.138,27,10,4,42,47,3,0,11,2,45.5,NA,22,19,102,0.029,23,3,7,31,67,9,5,8,1,34
6,2025-09-18,Alabama A&M,Kennesaw St. ,Away,L,0,3,3,28,20,92,0.087,27,2,2,41,62,3,0,4,0,32,NA,48,8,109,0.367,45,3,11,41,50,2,0,18,0,60
6,2025-09-19,Alabama A&M,Rider ,Away,W,3,2,5,49,25,132,0.182,47,11,7,54,81,6,1,18,0,70,NA,51,26,142,0.176,48,6,11,50,95,11,4,14,1,68
6,2025-09-28,Alabama A&M,Grambling,Home,W,3,0,3,42,19,105,0.219,41,8,6,34,59,3,4,2,0,55,NA,32,18,89,0.157,32,3,5,39,68,8,3,0,3,38
6,2025-09-29,Alabama A&M,Ark.-Pine Bluff,Home,W,3,0,3,36,10,89,0.292,31,7,6,49,37,3,4,4,1,49,NA,21,24,99,-0.03,18,3,7,41,68,7,0,2,0,25
6,2025-10-03,Alabama A&M,Bethune-Cookman,Home,W,3,2,5,67,26,189,0.217,66,5,3,99,91,1,2,8,3,78,NA,59,28,195,0.159,51,1,2,80,102,5,4,16,2,72
6,2025-10-05,Alabama A&M,Florida A&M,Home,W,3,2,5,60,23,162,0.228,60,9,5,63,92,4,6,4,1,77,NA,68,30,166,0.229,66,4,11,68,105,9,5,10,1,82
6,2025-10-13,Alabama A&M,Mississippi Val.,Away,W,3,0,3,36,11,86,0.291,31,9,7,30,37,2,4,6,0,52,NA,18,22,77,-0.052,18,2,4,29,66,9,0,12,0,26
6,2025-10-15,Alabama A&M,Memphis,Away,L,0,3,3,28,20,106,0.075,27,3,4,42,71,6,1,10,2,37,NA,42,18,106,0.226,37,6,3,51,50,3,0,18,3,57
7,2025-08-29,Alabama St.,Arizona,Away,L,0,3,3,28,14,92,0.152,24,1,7,24,68,4,1,6,0,33,NA,46,15,96,0.323,38,4,6,37,45,1,1,2,0,52
7,2025-08-30,Alabama St.,Fresno St. ,Away,L,0,3,3,40,24,119,0.134,37,1,5,42,73,6,1,12,2,48,NA,38,20,108,0.167,32,6,1,47,58,1,0,6,2,47
7,2025-08-31,Alabama St.,A&M-Corpus Christi ,Away,L,0,3,3,31,21,89,0.112,26,1,6,18,69,7,2,2,0,35,NA,38,10,75,0.373,34,7,4,28,44,1,0,8,0,49
7,2025-09-04,Alabama St.,Georgia,Away,L,0,3,3,24,23,86,0.012,24,2,3,30,62,10,1,8,2,31,1,34,8,76,0.342,34,10,11,32,46,2,2,20,0,56
7,2025-09-04,Alabama St.,Duke ,Away,L,1,3,4,43,14,122,0.238,40,3,4,40,86,8,2,18,2,57,1,70,28,152,0.276,64,8,12,52,87,3,1,8,1,83
7,2025-09-11,Alabama St.,Furman,Away,L,0,3,3,33,26,112,0.063,33,3,1,45,65,7,1,2,1,38,NA,41,8,102,0.324,41,7,8,43,53,3,2,16,2,58
7,2025-09-12,Alabama St.,Winthrop ,Away,L,1,3,4,54,26,146,0.192,52,7,2,61,91,9,3,10,2,69,NA,58,23,149,0.235,55,9,5,50,88,7,6,8,0,77
7,2025-09-19,Alabama St.,Providence ,Away,L,0,3,3,30,17,112,0.116,29,2,4,51,70,6,2,0,1,34,1,44,13,110,0.282,41,6,4,56,49,2,4,4,1,56
7,2025-09-20,Alabama St.,Tulane,Away,L,0,3,3,28,12,96,0.167,24,3,4,40,66,6,1,0,5,32,NA,49,10,104,0.375,43,6,7,50,46,3,2,2,1,58
7,2025-09-21,Alabama St.,New Orleans,Away,W,3,0,3,50,13,107,0.346,45,5,6,48,51,3,2,4,1,59,NA,31,16,102,0.147,30,3,4,35,67,5,1,6,2,38
7,2025-09-26,Alabama St.,Grambling,Home,W,3,0,3,43,12,85,0.365,37,5,10,32,45,2,1,10,0,54,NA,25,19,80,0.075,23,2,6,25,64,5,0,6,1,30
7,2025-09-28,Alabama St.,Ark.-Pine Bluff,Home,W,3,0,3,45,13,90,0.356,45,9,5,33,56,5,2,6,5,59,NA,36,15,95,0.221,34,5,4,26,69,9,1,8,0,46
7,2025-10-03,Alabama St.,Florida A&M,Home,W,3,0,3,37,14,96,0.24,33,10,3,41,44,2,4,8,1,55,NA,28,21,101,0.069,26,2,5,33,70,10,4,0,2,34
7,2025-10-05,Alabama St.,Bethune-Cookman,Home,L,1,3,4,52,17,145,0.241,50,5,4,58,89,8,1,16,4,66,NA,63,18,147,0.306,59,8,5,66,80,5,1,8,1,76
7,2025-10-10,Alabama St.,Jackson St.,Away,L,0,3,3,28,19,82,0.11,25,7,4,27,64,5,5,2,0,41,NA,45,16,93,0.312,41,5,9,34,60,7,3,6,1,56
17,2025-09-02,Alcorn,Louisiana Tech,Home,L,0,3,3,14,15,84,-0.012,14,3,4,37,57,11,0,2,0,18,NA,42,7,94,0.372,39,11,16,49,40,3,0,6,0,56
17,2025-09-04,Alcorn,McNeese,Away,L,0,3,3,22,17,91,0.055,16,0,10,30,62,4,1,4,3,25,NA,43,15,102,0.275,40,4,11,50,40,0,1,10,1,53
17,2025-09-05,Alcorn,ULM ,Away,L,0,3,3,28,16,97,0.124,23,3,11,36,64,13,3,2,3,35,NA,35,15,94,0.213,34,13,11,44,51,3,0,6,2,51
17,2025-09-06,Alcorn,UT Arlington ,Away,L,0,3,3,17,22,87,-0.057,15,6,4,34,61,16,0,4,1,25,NA,32,12,88,0.227,29,16,13,37,46,6,1,14,2,56
17,2025-09-13,Alcorn,Paul Quinn,Home,L,1,3,4,55,29,171,0.152,53,6,17,84,87,2,1,4,0,64,NA,41,20,150,0.14,38,2,2,77,68,6,3,14,0,53
17,2025-09-17,Alcorn,Nicholls,Away,L,0,3,3,24,24,100,0,23,4,5,41,69,6,1,4,0,31,NA,42,18,106,0.226,37,6,7,47,49,4,0,10,0,53
17,2025-09-19,Alcorn,Christian Brothers ,Away,L,0,3,3,20,13,82,0.085,18,4,7,26,65,12,2,2,0,27,NA,30,11,91,0.209,25,12,8,33,42,4,3,0,0,45
17,2025-09-19,Alcorn,LeMoyne-Owen ,Away,W,3,0,3,27,16,94,0.117,22,14,11,48,48,3,0,0,0,41,NA,15,15,94,0,13,3,8,39,63,14,0,4,0,20
17,2025-09-20,Alcorn,Ark.-Monticello ,Away,L,0,3,3,31,16,114,0.132,25,6,6,32,69,5,3,2,0,41,NA,39,12,110,0.245,29,5,5,40,55,6,1,0,0,45
17,2025-09-20,Alcorn,Christian Brothers ,Away,L,1,3,4,35,13,123,0.179,30,2,6,48,89,15,1,0,0,38,NA,58,16,159,0.264,47,15,9,52,67,2,2,0,0,75
17,2025-09-28,Alcorn,Texas Southern,Home,L,2,3,5,43,23,157,0.127,42,8,12,63,90,6,1,20,0,62,1,58,28,161,0.186,58,6,12,80,83,8,3,4,0,69
17,2025-09-29,Alcorn,Prairie View,Home,L,0,3,3,32,13,90,0.211,31,3,8,35,65,6,1,14,0,43,NA,48,17,104,0.298,43,6,8,44,54,3,0,6,0,57
17,2025-10-03,Alcorn,Southern U.,Home,L,0,3,3,21,21,81,0,21,6,6,31,65,8,1,2,0,29,1,35,8,81,0.333,31,8,9,37,40,6,3,6,0,49
17,2025-10-06,Alcorn,Ark.-Pine Bluff,Away,W,3,2,5,56,23,161,0.205,47,6,7,76,85,3,5,4,0,69,NA,56,29,168,0.161,50,3,12,71,102,6,6,2,2,66
17,2025-10-12,Alcorn,Bethune-Cookman,Home,L,0,3,3,30,23,101,0.069,28,6,5,37,70,6,1,12,0,43,NA,40,13,95,0.284,38,6,3,46,50,6,1,16,0,55
17,2025-10-13,Alcorn,Florida A&M,Home,L,0,3,3,36,22,109,0.128,33,9,10,39,65,2,1,8,0,50,NA,39,12,95,0.284,37,2,8,41,57,9,2,16,0,51
23,2025-08-29,American,George Mason,Away,W,3,2,5,61,20,169,0.243,53,9,12,65,84,8,3,11,0,78.5,NA,55,31,156,0.154,52,8,13,70,101,9,5,9,4,72.5
23,2025-08-30,American,Georgetown,Home,W,3,0,3,43,16,99,0.273,37,9,8,42,46,2,0,6,1,55,NA,26,14,86,0.14,25,2,8,35,65,9,0,10,1,33
23,2025-08-31,American,George Washington,Home,W,3,1,4,58,13,147,0.306,55,11,13,66,82,7,2,10,1,76,NA,52,23,151,0.192,47,7,7,59,87,11,2,8,4,65
23,2025-09-02,American,UMES,Home,W,3,0,3,44,9,96,0.365,38,7,8,42,51,4,2,4,1,55,NA,33,16,93,0.183,30,4,6,36,65,7,0,4,0,39
23,2025-09-05,American,ETSU ,Away,L,0,3,3,37,15,96,0.229,35,5,6,43,66,8,1,0,0,43,NA,46,6,106,0.377,42,8,8,35,52,5,0,12,0,60
23,2025-09-05,American,Cleveland St.,Away,W,3,0,3,40,13,100,0.27,37,5,3,56,47,5,2,12,0,53,NA,33,23,125,0.08,29,5,8,46,73,5,1,14,1,46
23,2025-09-06,American,Akron,Away,L,2,3,5,49,17,125,0.256,45,11,11,50,88,12,1,24,0,73,NA,60,32,159,0.176,56,12,12,50,94,11,0,14,0,79
23,2025-09-10,American,Hampton,Away,W,3,0,3,39,2,70,0.529,36,12,8,31,32,4,0,14,0,58,NA,19,20,78,-0.013,19,4,3,22,65,12,1,0,0,24
23,2025-09-13,American,N.C. A&T,Home,W,3,0,3,37,6,81,0.383,37,7,8,42,45,10,0,12,3,50,NA,28,22,98,0.061,27,10,8,32,66,7,0,2,3,39
23,2025-09-14,American,Howard,Away,L,0,3,3,38,9,102,0.284,35,3,10,33,67,10,5,6,0,49,NA,50,15,106,0.33,48,10,10,45,59,3,0,6,0,63
23,2025-09-20,American,Army West Point,Home,W,3,1,4,49,15,140,0.243,47,10,10,70,64,4,5,10,1,69,NA,42,26,148,0.108,34,4,8,61,84,10,1,8,2,51
23,2025-09-26,American,Navy,Home,W,3,0,3,41,12,99,0.293,41,9,8,54,50,3,1,10,1,56,NA,31,19,115,0.104,29,3,6,38,65,9,1,4,2,37
23,2025-09-28,American,Loyola Maryland,Away,W,3,0,3,49,10,115,0.339,47,6,9,51,58,6,1,2,2,57,NA,33,17,109,0.147,30,6,3,43,65,6,0,4,2,41
23,2025-10-03,American,Bucknell,Away,W,3,0,3,40,15,104,0.24,40,6,5,53,42,0,4,14,0,57,NA,25,23,108,0.019,23,0,5,41,68,6,3,6,1,31
23,2025-10-04,American,Lehigh,Away,W,3,0,3,40,11,95,0.305,38,7,7,44,55,7,3,6,0,53,NA,35,21,106,0.132,30,7,6,36,67,7,1,10,0,48
23,2025-10-10,American,Lafayette,Home,W,3,0,3,38,9,83,0.349,33,8,8,42,30,1,1,8,0,51,NA,17,21,94,-0.043,15,1,7,25,65,8,1,0,0,19
23,2025-10-12,American,Holy Cross,Home,W,3,1,4,56,8,127,0.378,53,12,9,57,61,8,2,14,2,77,NA,41,24,133,0.128,37,8,6,54,90,12,3,4,0,54
27,2025-08-29,App State,Mercer ,Away,W,3,0,3,35,7,98,0.286,34,7,9,46,41,4,4,4,2,48,NA,28,23,108,0.046,28,4,9,46,64,7,0,6,4,35
27,2025-08-30,App State,Col. of Charleston,Away,W,3,2,5,67,23,152,0.289,64,11,11,63,95,7,3,10,5,86,NA,59,18,152,0.27,51,7,7,53,93,11,2,9,1,72.5
27,2025-09-02,App State,Elon,Home,W,3,0,3,45,16,110,0.264,41,2,7,51,56,6,2,14,0,56,NA,34,16,109,0.165,29,6,10,42,67,2,0,6,0,43
27,2025-09-05,App State,VCU ,Away,W,3,2,5,65,20,155,0.29,60,8,18,52,94,5,2,20,1,85,NA,60,29,150,0.207,57,5,9,61,94,8,3,4,2,70
