ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,pts,bhe,defensive_kills,defensive_errors,defensive_total_attacks,defensive_hit_pct,defensive_assists,defensive_aces,defensive_s_err,defensive_digs,defensive_ret_att,defensive_r_err,defensive_block_solos,defensive_block_assists,defensive_b_err,defensive_pts
26172,2025-08-29,A&M-Corpus Christi,Fresno St. ,Away,L,2,3,5,62,22,187,0.214,55,6,7,73,99,6,2,8,0,74,NA,63,19,175,0.251,51,6,6,69,93,6,0,18,1,78
26172,2025-08-30,A&M-Corpus Christi,Arizona,Away,L,0,3,3,35,14,113,0.186,26,1,4,38,70,4,0,2,0,37,NA,47,9,107,0.355,38,4,4,44,47,1,2,6,1,56
26172,2025-08-31,A&M-Corpus Christi,Alabama St. ,Away,W,3,0,3,38,10,75,0.373,34,7,4,28,44,1,0,8,0,49,NA,31,21,89,0.112,26,1,6,18,69,7,2,2,0,35
26172,2025-09-11,A&M-Corpus Christi,Tarleton St.,Home,W,3,0,3,38,16,98,0.224,34,10,2,41,53,3,4,4,0,54,NA,35,18,99,0.172,33,3,6,41,72,10,2,16,1,48
26172,2025-09-13,A&M-Corpus Christi,Sam Houston,Home,L,2,3,5,69,22,157,0.299,64,5,12,66,85,5,1,14,0,82,NA,55,21,146,0.233,53,5,11,52,95,5,0,12,2,66
26172,2025-09-18,A&M-Corpus Christi,Rice,Away,L,0,3,3,29,16,105,0.124,26,4,5,44,63,8,1,6,2,37,NA,45,14,116,0.267,36,8,11,49,55,4,2,12,0,61
26172,2025-09-19,A&M-Corpus Christi,TCU ,Away,L,1,3,4,36,27,154,0.058,34,6,8,60,87,7,3,6,0,48,NA,53,18,141,0.248,46,7,10,69,66,6,2,13,0,68.5
26172,2025-09-20,A&M-Corpus Christi,Cornell ,Away,L,1,3,4,52,20,146,0.219,44,4,9,68,89,6,1,12,1,63,NA,61,15,152,0.303,50,6,10,63,73,4,1,12,3,74
26172,2025-09-24,A&M-Corpus Christi,SFA,Home,L,1,3,4,39,20,124,0.153,37,3,6,49,80,11,2,0,1,44,NA,51,16,123,0.285,47,11,9,54,64,3,2,18,3,73
26172,2025-09-27,A&M-Corpus Christi,Lamar University,Away,W,3,0,3,46,11,96,0.365,41,5,7,55,44,2,2,4,0,55,NA,29,14,99,0.152,27,2,9,31,66,5,4,2,3,36
26172,2025-10-04,A&M-Corpus Christi,Northwestern St.,Home,W,3,0,3,46,10,99,0.364,46,5,4,52,49,6,1,2,1,53,NA,33,14,106,0.179,31,6,8,39,69,5,2,0,0,41
26172,2025-10-09,A&M-Corpus Christi,Houston Christian,Away,L,1,3,4,52,19,142,0.232,47,0,8,64,85,4,2,6,2,57,NA,61,19,148,0.284,57,4,11,61,79,0,4,8,2,73
